42.8,0,0.12388,0
42.8,0.01,0.12414,0
42.8,0.02,0.12438,0
42.8,0.03,0.1246,0
42.8,0.04,0.12482,0
42.8,0.05,0.12505,0
42.8,0.06,0.12531,0
42.8,0.07,0.12559,0
42.8,0.08,0.12592,0
42.8,0.09,0.1263,0
42.8,0.1,0.12675,0
42.8,0.11,0.12727,0
42.8,0.12,0.12787,0
42.8,0.13,0.12856,0
42.8,0.14,0.12935,0
42.8,0.15,0.13025,0
42.8,0.16,0.13126,0
42.8,0.17,0.13239,0
42.8,0.18,0.13363,0
42.8,0.19,0.13499,0
42.8,0.2,0.13648,0
42.8,0.21,0.13808,0
42.8,0.22,0.13979,0
42.8,0.23,0.14162,0
42.8,0.24,0.14356,0
42.8,0.25,0.1456,0
42.8,0.26,0.14774,0
42.8,0.27,0.14996,0
42.8,0.28,0.15225,0
42.8,0.29,0.1546,0
42.8,0.3,0.15698,0
42.8,0.31,0.15937,0
42.8,0.32,0.16176,0
42.8,0.33,0.16414,0
42.8,0.34,0.16648,0
42.8,0.35,0.16881,0
42.8,0.36,0.17111,0
42.8,0.37,0.17341,0
42.8,0.38,0.17572,0
42.8,0.39,0.17808,0
42.8,0.4,0.18051,0
42.79,0,0.1185,0
42.79,0.01,0.11873,0
42.79,0.02,0.11895,0
42.79,0.03,0.11917,0
42.79,0.04,0.11939,0
42.79,0.05,0.11964,0
42.79,0.06,0.11991,0
42.79,0.07,0.12021,0
42.79,0.08,0.12055,0
42.79,0.09,0.12095,0
42.79,0.1,0.1214,0
42.79,0.11,0.12191,0
42.79,0.12,0.12248,0
42.79,0.13,0.12313,0
42.79,0.14,0.12386,0
42.79,0.15,0.12467,0
42.79,0.16,0.12557,0
42.79,0.17,0.12656,0
42.79,0.18,0.12764,0
42.79,0.19,0.12883,0
42.79,0.2,0.13011,0
42.79,0.21,0.13149,0
42.79,0.22,0.13297,0
42.79,0.23,0.13455,0
42.79,0.24,0.13622,0
42.79,0.25,0.13799,0
42.79,0.26,0.13984,0
42.79,0.27,0.14177,0
42.79,0.28,0.14377,0
42.79,0.29,0.14582,0
42.79,0.3,0.14791,0
42.79,0.31,0.15002,0
42.79,0.32,0.15214,0
42.79,0.33,0.15425,0
42.79,0.34,0.15635,0
42.79,0.35,0.15844,0
42.79,0.36,0.16053,0
42.79,0.37,0.16263,0
42.79,0.38,0.16477,0
42.79,0.39,0.16698,0
42.79,0.4,0.16927,0
42.78,0,0.11373,0
42.78,0.01,0.11391,0
42.78,0.02,0.1141,0
42.78,0.03,0.11429,0
42.78,0.04,0.11451,0
42.78,0.05,0.11475,0
42.78,0.06,0.11502,0
42.78,0.07,0.11533,0
42.78,0.08,0.11568,0
42.78,0.09,0.11608,0
42.78,0.1,0.11653,0
42.78,0.11,0.11702,0
42.78,0.12,0.11757,0
42.78,0.13,0.11817,0
42.78,0.14,0.11883,0
42.78,0.15,0.11956,0
42.78,0.16,0.12035,0
42.78,0.17,0.12121,0
42.78,0.18,0.12214,0
42.78,0.19,0.12315,0
42.78,0.2,0.12424,0
42.78,0.21,0.1254,0
42.78,0.22,0.12665,0
42.78,0.23,0.12798,0
42.78,0.24,0.1294,0
42.78,0.25,0.13089,0
42.78,0.26,0.13247,0
42.78,0.27,0.13412,0
42.78,0.28,0.13583,0
42.78,0.29,0.1376,0
42.78,0.3,0.1394,0
42.78,0.31,0.14124,0
42.78,0.32,0.14308,0
42.78,0.33,0.14494,0
42.78,0.34,0.1468,0
42.78,0.35,0.14866,0
42.78,0.36,0.15054,0
42.78,0.37,0.15246,0
42.78,0.38,0.15443,0
42.78,0.39,0.15649,0
42.78,0.4,0.15865,0
42.77,0,0.10955,0
42.77,0.01,0.10967,0
42.77,0.02,0.1098,0
42.77,0.03,0.10997,0
42.77,0.04,0.11016,0
42.77,0.05,0.11038,0
42.77,0.06,0.11065,0
42.77,0.07,0.11095,0
42.77,0.08,0.1113,0
42.77,0.09,0.1117,0
42.77,0.1,0.11213,0
42.77,0.11,0.11261,0
42.77,0.12,0.11313,0
42.77,0.13,0.11369,0
42.77,0.14,0.11429,0
42.77,0.15,0.11493,0
42.77,0.16,0.11562,0
42.77,0.17,0.11636,0
42.77,0.18,0.11714,0
42.77,0.19,0.11798,0
42.77,0.2,0.11888,0
42.77,0.21,0.11984,0
42.77,0.22,0.12087,0
42.77,0.23,0.12197,0
42.77,0.24,0.12313,0
