2020-05-03_0:00,43.05,2.55,111.98185,1.0415448,0.10286537,1.0415448,3.4508095,2.5653293
2020-05-03_0:00,43.05,2.65,111.90693,0.9700642,0.10062005,0.9700642,3.503546,2.5438461
2020-05-03_0:00,43.05,2.75,112.17608,1.1646463,0.07988642,1.1646463,3.7349129,2.6254945
2020-05-03_0:00,43.05,2.85,112.89481,1.5047902,0.08923716,1.5047902,3.797469,2.5750957
2020-05-03_0:00,43.05,2.95,114.89479,1.9179282,0.11899469,1.9179282,3.8013487,2.619192
2020-05-03_0:00,43.05,3.05,116.55103,2.1340044,0.14704692,2.1340044,3.8063793,2.6475568
2020-05-03_0:00,42.95,0.25,106.353836,0.81851965,0.02060584,0.81851965,3.2108307,2.2316086
2020-05-03_0:00,42.95,0.35,103.64479,0.93311596,0.027768109,0.93311596,2.8739197,2.481439
2020-05-03_0:00,42.95,0.45,106.05103,0.74857384,0.03224453,0.74857384,3.260725,2.6327455
2020-05-03_0:00,42.95,0.55,107.86354,1.1340574,0.031086344,1.1340574,2.803434,2.305022
2020-05-03_0:00,42.95,0.65,108.3948,1.4664919,0.03655752,1.4664919,3.1427891,2.6903315
2020-05-03_0:00,42.95,0.75,109.98295,0.96358407,0.029921055,0.96358407,3.3441286,2.6092515
2020-05-03_0:00,42.95,0.85,109.63643,0.8544802,0.019532919,0.8544802,3.2515733,2.651415
2020-05-03_0:00,42.95,0.95,108.79356,0.837079,0.02012267,0.837079,3.304537,2.7017286
2020-05-03_0:00,42.95,1.05,108.28014,0.9152103,0.042970173,0.9152103,3.350623,2.6711433
2020-05-03_0:00,42.95,1.15,111.5823,0.92780113,0.072614014,0.92780113,3.4716995,2.7631266
2020-05-03_0:00,42.95,1.25,111.863556,0.87431145,0.075633824,0.87431145,3.8162274,2.9383783
2020-05-03_0:00,42.95,1.35,108.86813,0.82865196,0.08705224,0.82865196,3.8854911,2.8993163
2020-05-03_0:00,42.95,1.45,109.07232,0.688604,0.081296846,0.688604,3.5740886,2.7489228
2020-05-03_0:00,42.95,1.55,108.87518,0.7420937,0.07031186,0.7420937,3.3804088,2.7122056
2020-05-03_0:00,42.95,1.65,110.20731,0.84671396,0.07421984,0.84671396,3.3502533,2.6972842
2020-05-03_0:00,42.95,1.75,110.707306,0.862957,0.07812427,0.862957,3.354261,2.6968188
2020-05-03_0:00,42.95,1.85,110.61357,0.8179938,0.10546951,0.8179938,3.275021,2.6725645
2020-05-03_0:00,42.95,1.95,111.48856,0.7805127,0.11687017,0.7805127,3.1504345,2.7458854
2020-05-03_0:00,42.95,2.05,113.03646,0.8179938,0.117609136,0.8179938,3.1669476,2.7447414
2020-05-03_0:00,42.95,2.15,113.01577,0.9302099,0.1191439,0.9302099,3.178302,2.7503405
2020-05-03_0:00,42.95,2.25,112.69546,0.95755863,0.121094346,0.95755863,3.246969,2.6115465
2020-05-03_0:00,42.95,2.35,112.05745,0.8852894,0.12499878,0.8852894,3.3977177,2.7202525
2020-05-03_0:00,42.95,2.45,111.39483,0.8147467,0.13281119,0.8147467,3.510495,2.7137687
2020-05-03_0:00,42.95,2.55,111.51982,0.8628362,0.10296485,0.8628362,3.4384887,2.6336906
2020-05-03_0:00,42.95,2.65,112.03613,0.87357247,0.09282185,0.87357247,3.3759892,2.5790036
2020-05-03_0:00,42.95,2.75,112.24032,0.87971157,0.08572353,0.87971157,3.3330297,2.5321293
2020-05-03_0:00,42.95,2.85,112.5849,1.1741108,0.08593669,1.1741108,3.464196,2.56561
2020-05-03_0:00,42.95,2.95,113.14606,1.3146845,0.09765709,1.3146845,3.6614144,2.4735343
2020-05-03_0:00,42.95,3.05,114.426056,1.4764893,0.10116717,1.4764893,3.8072035,2.5205474
2020-05-03_0:00,42.85,0.25,94.207306,0.51476264,0.015624935,0.51476264,2.7734632,2.2075675
2020-05-03_0:00,42.85,0.35,99.14478,0.56527513,0.020350045,0.56527513,2.8356073,2.3436933
2020-05-03_0:00,42.85,0.45,100.11356,0.6132367,0.016783118,0.6132367,2.8092177,2.3074768
2020-05-03_0:00,42.85,0.55,101.113556,0.6762264,0.02944499,0.6762264,2.8216808,2.3129444
2020-05-03_0:00,42.85,0.65,100.80103,0.7524818,0.0386181,0.7524818,2.853442,2.3357813
2020-05-03_0:00,42.85,0.75,99.433205,0.69980925,0.026375446,0.69980925,2.8985472,2.3733478
2020-05-03_0:00,42.85,0.85,99.82287,0.36906582,0.021110324,0.36906582,2.9325395,2.3249526
2020-05-03_0:00,42.85,0.95,100.28745,0.40703723,0.015624935,0.40703723,3.0046597,2.349026
2020-05-03_0:00,42.85,1.05,103.47552,0.60616684,0.027345337,0.60616684,3.090138,2.41657
2020-05-03_0:00,42.85,1.15,103.752,0.6017828,0.0462138,0.6017828,3.3882105,2.5047271
2020-05-03_0:00,42.85,1.25,104.09079,0.8434313,0.046874605,0.8434313,3.4479246,2.5598793
2020-05-03_0:00,42.85,1.35,102.2012,0.55330247,0.050803907,0.55330247,3.2004569,2.4889958
2020-05-03_0:00,42.85,1.45,104.17537,0.42622188,0.043599002,0.42622188,3.1042635,2.373305
2020-05-03_0:00,42.85,1.55,104.3002,0.60446155,0.042970173,0.60446155,3.0055833,2.3706477
2020-05-03_0:00,42.85,1.65,104.89484,0.7216016,0.042970173,0.7216016,3.1071768,2.434369
2020-05-03_0:00,42.85,1.75,104.92605,0.60496604,0.042970173,0.60496604,3.209694,2.5433095
2020-05-03_0:00,42.85,1.85,105.261986,0.59415865,0.049944147,0.59415865,3.1094363,2.5194745
2020-05-03_0:00,42.85,1.95,105.55962,0.5469289,0.055585857,0.5469289,2.9995153,2.442178
2020-05-03_0:00,42.85,2.05,105.913414,0.50445974,0.05297106,0.50445974,3.0237164,2.3737812
2020-05-03_0:00,42.85,2.15,106.89481,0.5442146,0.055394012,0.5442146,3.0756288,2.3932607
2020-05-03_0:00,42.85,2.25,108.73853,0.619859,0.06775746,0.619859,3.1520119,2.5143406
2020-05-03_0:00,42.85,2.35,109.89478,0.7497178,0.084632844,0.7497178,3.2265337,2.6354172
2020-05-03_0:00,42.85,2.45,111.4573,0.74271184,0.10546951,0.74271184,3.2955275,2.5769858
2020-05-03_0:00,42.85,2.55,111.50999,1.1018131,0.12456535,1.1018131,3.3739429,2.7041266
2020-05-03_0:00,42.85,2.65,112.78533,1.0360168,0.13778144,1.0360168,3.395657,2.6270826
2020-05-03_0:00,42.85,2.75,113.29618,0.8294975,0.093749106,0.8294975,3.3980587,2.6195438
2020-05-03_0:00,42.85,2.85,113.50605,0.93774873,0.09765709,0.93774873,3.3759892,2.6084273
2020-05-03_0:00,42.85,2.95,113.78413,1.1665435,0.09765709,1.1665435,3.3842883,2.5850468
2020-05-03_0:00,42.85,3.05,113.8819,1.2091831,0.08682132,1.2091831,3.8324704,2.5536125
2020-05-03_0:00,42.75,0.25,94.08231,0.4056517,0.011720502,0.4056517,2.6461055,2.2240415
2020-05-03_0:00,42.75,0.35,94.26984,0.424005,0.011720502,0.424005,2.5753639,2.1621993
2020-05-03_0:00,42.75,0.45,97.31949,0.4496769,0.011720502,0.4496769,2.5306282,2.1259687
2020-05-03_0:00,42.75,0.55,95.17603,0.57474667,0.023419589,0.57474667,2.572138,2.150191
2020-05-03_0:00,42.75,0.65,94.457306,0.6743505,0.021440728,0.6743505,2.6175559,2.2064981
2020-05-03_0:00,42.75,0.75,93.877335,0.5074014,0.015624935,0.5074014,2.7408776,2.446427
2020-05-03_0:00,42.75,0.85,99.70452,0.2886537,0.009414791,0.2886537,2.6693404,2.1639223
2020-05-03_0:00,42.75,0.95,99.64063,0.2553719,0.00898136,0.2553719,2.691225,2.070884
2020-05-03_0:00,42.75,1.05,99.6952,0.34916353,0.007812517,0.34916353,2.744928,2.2002454
2020-05-03_0:00,42.75,1.15,100.02762,0.46586308,0.019532919,0.46586308,2.9925237,2.3658159
2020-05-03_0:00,42.75,1.25,93.95731,0.43607002,0.023437351,0.43607002,3.0110972,2.3503795
2020-05-03_0:00,42.75,1.35,97.42379,0.39856756,0.015624935,0.39856756,2.9827466,2.2719533
2020-05-03_0:00,42.75,1.45,95.27693,0.37931186,0.015624935,0.37931186,2.9748878,2.281638
2020-05-03_0:00,42.75,1.55,96.98002,0.5940734,0.019532919,0.5940734,2.958048,2.3174636
2020-05-03_0:00,42.75,1.65,98.426056,0.60711896,0.023437351,0.60711896,2.943013,2.3348505
2020-05-03_0:00,42.75,1.75,97.83233,0.7215164,0.027345337,0.7215164,2.962766,2.3332448
2020-05-03_0:00,42.75,1.85,98.153946,0.55693334,0.027345337,0.55693334,2.9691894,2.442178
2020-05-03_0:00,42.75,1.95,101.80472,0.3360327,0.023437351,0.3360327,2.8989024,2.378485
2020-05-03_0:00,42.75,2.05,102.11764,0.3484459,0.023888547,0.3484459,2.856156,2.3336284
2020-05-03_0:00,42.75,2.15,102.259575,0.39856046,0.028976033,0.39856046,2.8622668,2.3564048
2020-05-03_0:00,42.75,2.25,105.60214,0.43156517,0.032365322,0.43156517,2.9240415,2.373355
2020-05-03_0:00,42.75,2.35,104.88984,0.5144784,0.039062187,0.5144784,2.9125307,2.412925
2020-05-03_0:00,42.75,2.45,107.51981,0.65319765,0.052583814,0.65319765,2.930678,2.5379415
2020-05-03_0:00,42.75,2.55,110.9573,0.7993563,0.07287336,0.7993563,3.1728735,2.6043487
2020-05-03_0:00,42.75,2.65,113.53816,1.0174716,0.099305555,1.0174716,3.2746232,2.6707988
2020-05-03_0:00,42.75,2.75,115.11455,1.2129349,0.12759227,1.2129349,3.365587,2.6550992
2020-05-03_0:00,42.75,2.85,115.8144,1.465142,0.15884903,1.465142,3.5769165,2.5814905
2020-05-03_0:00,42.75,2.95,115.60238,1.41669,0.13671918,1.41669,3.539002,2.6595933
2020-05-03_0:00,42.75,3.05,115.78206,1.059685,0.107206784,1.059685,3.835412,2.6690366
2020-05-03_0:00,42.65,0.25,95.58775,0.36893794,0.007812517,0.36893794,2.4273295,2.0877097
2020-05-03_0:00,42.65,0.35,99.30133,0.35376784,0.0053433813,0.35376784,2.3681695,2.069232
2020-05-03_0:00,42.65,0.45,99.24255,0.36185384,0.008526613,0.36185384,2.3489993,2.0807178
2020-05-03_0:00,42.65,0.55,94.306046,0.4886573,0.0105729755,0.4886573,2.3837447,2.0722766
2020-05-03_0:00,42.65,0.65,92.83426,0.45853737,0.011720502,0.45853737,2.4210908,2.136126
2020-05-03_0:00,42.65,0.75,98.34369,0.37664732,0.007812517,0.37664732,2.6901166,2.303384
2020-05-03_0:00,42.65,0.85,97.95806,0.24940333,0.007812517,0.24940333,2.5229402,2.084704
2020-05-03_0:00,42.65,0.95,97.81095,0.2472717,0.006846179,0.2472717,2.5852404,2.0527687
2020-05-03_0:00,42.65,1.05,97.90327,0.31451747,0.005069822,0.31451747,2.68051,2.1171296
2020-05-03_0:00,42.65,1.15,98.194534,0.40376163,0.009777168,0.40376163,2.8278766,2.3142874
2020-05-03_0:00,42.65,1.25,98.488525,0.33451214,0.007812517,0.33451214,2.9000535,2.3434908
2020-05-03_0:00,42.65,1.35,98.47625,0.27202702,0.0071481597,0.27202702,2.900352,2.1078463
