lat,lon,NO2,,,,,,
42.65,1.65,0.3480835,,,,,,
42.65,1.75,0.3601343,,,,,,
42.65,1.85,0.37043008,,,,,,
42.65,1.95,0.37759236,,,,,,
42.65,2.05,0.3683553,,,,,,
42.65,2.15,0.41908804,,,,,,
42.65,2.25,0.47355825,,,,,,
42.65,2.35,0.5388358,,,,,,
42.65,2.45,0.7974023,,,,,,
42.65,2.55,0.920447,,,,,,
42.65,2.65,0.98586667,,,,,,
42.65,2.75,14.438.825,,,,,,
42.65,2.85,19.673.251,,,,,,
42.65,2.95,16.497.481,,,,,,
42.65,3.05,12.301.015,,,,,,
42.55,0.25,0.40029418,,,,,,
42.55,0.35,0.3906095,,,,,,
42.55,0.45,0.4223139,,,,,,
42.55,0.55,0.45560282,,,,,,
42.55,0.65,0.45841658,,,,,,
42.55,0.75,0.32474217,,,,,,
42.55,0.85,0.26628584,,,,,,
42.55,0.95,0.2598341,,,,,,
42.55,1.05,0.346229,,,,,,
42.55,1.15,0.52814925,,,,,,
42.55,1.25,0.36684895,,,,,,
42.55,1.35,0.24054286,,,,,,
42.55,1.45,0.25052598,,,,,,
42.55,1.55,0.2720128,,,,,,
42.55,1.65,0.25492424,,,,,,
42.55,1.75,0.29352802,,,,,,
42.55,1.85,0.3703306,,,,,,
42.55,1.95,0.4681297,,,,,,
42.55,2.05,0.43520316,,,,,,
42.55,2.15,0.49869725,,,,,,
42.55,2.25,0.5187772,,,,,,
42.55,2.35,0.6847884,,,,,,
42.55,2.45,0.7095082,,,,,,
42.55,2.55,0.7016993,,,,,,
42.55,2.65,0.84144175,,,,,,
42.55,2.75,15.289.558,,,,,,
42.55,2.85,31.627.848,,,,,,
42.55,2.95,29.079.275,,,,,,
42.55,3.05,19.056.572,,,,,,
42.45,0.25,0.47124898,,,,,,
42.45,0.35,0.44498733,,,,,,
42.45,0.45,0.4804079,,,,,,
42.45,0.55,0.5223512,,,,,,
42.45,0.65,0.5165674,,,,,,
42.45,0.75,0.5324836,,,,,,
42.45,0.85,0.38333353,,,,,,
42.45,0.95,0.3487159,,,,,,
42.45,1.05,0.43021515,,,,,,
42.45,1.15,0.6238736,,,,,,
42.45,1.25,0.4727127,,,,,,
42.45,1.35,0.5564004,,,,,,
42.45,1.45,0.575244,,,,,,
42.45,1.55,0.4484903,,,,,,
42.45,1.65,0.851233,,,,,,
42.45,1.75,0.6771501,,,,,,
42.45,1.85,0.67206967,,,,,,
42.45,1.95,12.555.603,,,,,,
42.45,2.05,0.83498293,,,,,,
42.45,2.15,0.4927145,,,,,,
42.45,2.25,0.47513565,,,,,,
42.45,2.35,0.49076048,,,,,,
42.45,2.45,0.62081826,,,,,,
42.45,2.55,0.72663224,,,,,,
42.45,2.65,0.73106605,,,,,,
42.45,2.75,11.421.008,,,,,,
42.45,2.85,25.327.182,,,,,,
42.45,2.95,19.317.625,,,,,,
42.45,3.05,19.197.614,,,,,,
42.35,0.25,0.6908138,,,,,,
42.35,0.35,0.5547022,,,,,,
42.35,0.45,0.5475613,,,,,,
42.35,0.55,0.52787215,,,,,,
42.35,0.65,0.5572389,,,,,,
42.35,0.75,0.6693838,,,,,,
42.35,0.85,0.496928,,,,,,
42.35,0.95,0.45169485,,,,,,
42.35,1.05,0.66654164,,,,,,
42.35,1.15,0.64700884,,,,,,
42.35,1.25,0.7498883,,,,,,
42.35,1.35,0.6636213,,,,,,
42.35,1.45,10.782.657,,,,,,
42.35,1.55,10.475.347,,,,,,
42.35,1.65,13.572.674,,,,,,
42.35,1.75,18.892.009,,,,,,
42.35,1.85,2.392.585,,,,,,
42.35,1.95,20.874.567,,,,,,
42.35,2.05,12.838.897,,,,,,
42.35,2.15,0.7912206,,,,,,
42.35,2.25,0.6827776,,,,,,
42.35,2.35,0.63522804,,,,,,
42.35,2.45,0.61551756,,,,,,
42.35,2.55,0.63119215,,,,,,
42.35,2.65,0.5694389,,,,,,
42.35,2.75,0.86380965,,,,,,
42.35,2.85,20.009.835,,,,,,
42.35,2.95,22.391.717,,,,,,
42.35,3.05,22.375.302,,,,,,
42.25,0.25,0.6966616,,,,,,
42.25,0.35,0.7782674,,,,,,
42.25,0.45,0.7170186,,,,,,
42.25,0.55,0.6453675,,,,,,
42.25,0.65,0.68582577,,,,,,
42.25,0.75,0.7006619,,,,,,
42.25,0.85,0.6821807,,,,,,
42.25,0.95,0.7738194,,,,,,
42.25,1.05,0.7256233,,,,,,
42.25,1.15,0.6782585,,,,,,
42.25,1.25,0.7498315,,,,,,
42.25,1.35,0.95365065,,,,,,
42.25,1.45,11.011.522,,,,,,
42.25,1.55,13.066.483,,,,,,
42.25,1.65,14.575.604,,,,,,
42.25,1.75,23.075.542,,,,,,
42.25,1.85,4.088.416,,,,,,
42.25,1.95,29.092.276,,,,,,
42.25,2.05,20.924.375,,,,,,
42.25,2.15,21.487.622,,,,,,
42.25,2.25,19.680.072,,,,,,
42.25,2.35,15.066.022,,,,,,
42.25,2.45,15.515.723,,,,,,
42.25,2.55,19.192.072,,,,,,
42.25,2.65,18.065.578,,,,,,
42.25,2.75,16.492.294,,,,,,
42.25,2.85,19.216.301,,,,,,
42.25,2.95,43.806.977,,,,,,
42.25,3.05,4.867.796,,,,,,
42.15,0.25,11.124.569,,,,,,
42.15,0.35,11.915.901,,,,,,
42.15,0.45,108.773,,,,,,
42.15,0.55,0.95599544,,,,,,
42.15,0.65,0.88020897,,,,,,
42.15,0.75,0.76255727,,,,,,
42.15,0.85,11.071.705,,,,,,
42.15,0.95,14.003.618,,,,,,
42.15,1.05,0.84488785,,,,,,
42.15,1.15,0.7013938,,,,,,
42.15,1.25,0.78988475,,,,,,
42.15,1.35,0.93723714,,,,,,
42.15,1.45,0.9926239,,,,,,
42.15,1.55,11.272.504,,,,,,
42.15,1.65,0.8969849,,,,,,
42.15,1.75,19.034.047,,,,,,
42.15,1.85,2.617.152,,,,,,
42.15,1.95,25.433.764,,,,,,
42.15,2.05,24.927.146,,,,,,
42.15,2.15,30.010.512,,,,,,
42.15,2.25,2.170.448,,,,,,
42.15,2.35,22.837.298,,,,,,
42.15,2.45,25.648.417,,,,,,
42.15,2.55,26.935.565,,,,,,
42.15,2.65,21.477.106,,,,,,
42.15,2.75,30.279.026,,,,,,
42.15,2.85,38.930.452,,,,,,
42.15,2.95,57.397.885,,,,,,
42.15,3.05,57.348.785,,,,,,
42.05,0.25,11.404.808,,,,,,
42.05,0.35,0.9880196,,,,,,
42.05,0.45,10.121.212,,,,,,
42.05,0.55,0.92971957,,,,,,
42.05,0.65,0.70660204,,,,,,
42.05,0.75,0.8093394,,,,,,
42.05,0.85,11.241.382,,,,,,
42.05,0.95,0.97834915,,,,,,
42.05,1.05,0.9547662,,,,,,
42.05,1.15,0.767119,,,,,,
42.05,1.25,0.8688687,,,,,,
42.05,1.35,0.8876128,,,,,,
42.05,1.45,0.90521294,,,,,,
42.05,1.55,0.8504514,,,,,,
42.05,1.65,1.186.197,,,,,,
42.05,1.75,18.052.148,,,,,,
42.05,1.85,22.634.225,,,,,,
42.05,1.95,20.945.833,,,,,,
42.05,2.05,19.642.272,,,,,,
42.05,2.15,24.302.154,,,,,,
42.05,2.25,34.028.986,,,,,,
42.05,2.35,22.654.262,,,,,,
42.05,2.45,1.509.288,,,,,,
42.05,2.55,14.485.579,,,,,,
42.05,2.65,15.272.576,,,,,,
42.05,2.75,2.173.013,,,,,,
42.05,2.85,4.717.218,,,,,,
42.05,2.95,65.065.637,,,,,,
42.05,3.05,66.641.903,,,,,,
41.95,0.25,12.717.891,,,,,,
41.95,0.35,11.901.761,,,,,,
41.95,0.45,1.062.989,,,,,,
41.95,0.55,10.434.846,,,,,,
41.95,0.65,0.7614844,,,,,,
41.95,0.75,0.86083955,,,,,,
41.95,0.85,0.91840065,,,,,,
41.95,0.95,0.90139735,,,,,,
41.95,1.05,11.085.135,,,,,,
41.95,1.15,11.474.725,,,,,,
41.95,1.25,12.499.328,,,,,,
41.95,1.35,15.327.572,,,,,,
41.95,1.45,16.845.007,,,,,,
41.95,1.55,14.567.575,,,,,,
41.95,1.65,16.323.966,,,,,,
41.95,1.75,20.278.704,,,,,,
41.95,1.85,25.664.973,,,,,,
41.95,1.95,22.116.523,,,,,,
41.95,2.05,23.935.087,,,,,,
41.95,2.15,30.747.416,,,,,,
41.95,2.25,3.405.229,,,,,,
41.95,2.35,12.674.264,,,,,,
41.95,2.45,0.92419153,,,,,,
41.95,2.55,0.79707545,,,,,,
41.95,2.65,2.005.524,,,,,,
41.95,2.75,5.688.537,,,,,,
41.95,2.85,8.638.341,,,,,,
41.95,2.95,70.580.297,,,,,,
41.95,3.05,51.533.346,,,,,,
41.85,0.25,25.972.283,,,,,,
41.85,0.35,19.405.447,,,,,,
41.85,0.45,12.504.231,,,,,,
41.85,0.55,10.820.742,,,,,,
41.85,0.65,0.89136446,,,,,,
41.85,0.75,0.9564715,,,,,,
41.85,0.85,10.417.438,,,,,,
41.85,0.95,149.507,,,,,,
41.85,1.05,19.942.476,,,,,,
41.85,1.15,24.363.117,,,,,,
41.85,1.25,24.586.158,,,,,,
41.85,1.35,24.210.138,,,,,,
41.85,1.45,23.447.938,,,,,,
41.85,1.55,2.072.315,,,,,,
41.85,1.65,19.360.754,,,,,,
41.85,1.75,28.029.306,,,,,,
41.85,1.85,37.861.228,,,,,,
41.85,1.95,32.614.224,,,,,,
41.85,2.05,276.859,,,,,,
41.85,2.15,32.739.635,,,,,,
41.85,2.25,28.331.995,,,,,,
41.85,2.35,0.96711546,,,,,,
41.85,2.45,0.8958551,,,,,,
41.85,2.55,14.640.335,,,,,,
41.85,2.65,38.010.156,,,,,,
41.85,2.75,78.350.654,,,,,,
41.85,2.85,8.459.682,,,,,,
41.85,2.95,5.856.502,,,,,,
41.85,3.05,46.480.184,,,,,,
41.75,0.25,32.826.605,,,,,,
41.75,0.35,35.315.566,,,,,,
41.75,0.45,29.935.052,,,,,,
41.75,0.55,20.188.751,,,,,,
41.75,0.65,16.168.429,,,,,,
41.75,0.75,20.290.215,,,,,,
41.75,0.85,27.644.973,,,,,,
41.75,0.95,36.214.402,,,,,,
41.75,1.05,4.253.781,,,,,,
41.75,1.15,47.237.263,,,,,,
41.75,1.25,4.929.059,,,,,,
41.75,1.35,40.927.362,,,,,,
41.75,1.45,42.412.467,,,,,,
41.75,1.55,37.003.815,,,,,,
41.75,1.65,44.048.204,,,,,,
41.75,1.75,658.451,,,,,,
41.75,1.85,6.618.261,,,,,,
41.75,1.95,40.270.395,,,,,,
41.75,2.05,25.447.762,,,,,,
41.75,2.15,29.793.582,,,,,,
41.75,2.25,22.795.732,,,,,,
41.75,2.35,18.384.682,,,,,,
41.75,2.45,31.608.665,,,,,,
41.75,2.55,5.178.332,,,,,,
41.75,2.65,5.805.016,,,,,,
41.75,2.75,60.816.445,,,,,,
41.75,2.85,6.528.022,,,,,,
41.75,2.95,52.039.967,,,,,,
41.75,3.05,33.522.582,,,,,,
41.65,0.25,20.565.479,,,,,,
41.65,0.35,27.272.434,,,,,,
41.65,0.45,3.258.154,,,,,,
41.65,0.55,33.850.427,,,,,,
41.65,0.65,43.529.086,,,,,,
41.65,0.75,42.449.274,,,,,,
41.65,0.85,43.704.658,,,,,,
41.65,0.95,4.678.991,,,,,,
41.65,1.05,48.149.815,,,,,,
41.65,1.15,5.114.816,,,,,,
41.65,1.25,60.191.383,,,,,,
41.65,1.35,667.045,,,,,,
41.65,1.45,61.860.733,,,,,,
41.65,1.55,62.075.033,,,,,,
41.65,1.65,7.742.659,,,,,,
41.65,1.75,8.266.415,,,,,,
41.65,1.85,8.447.319,,,,,,
41.65,1.95,49.748.964,,,,,,
41.65,2.05,4.771.589,,,,,,
41.65,2.15,52.934.966,,,,,,
41.65,2.25,58.800.564,,,,,,
41.65,2.35,61.039.557,,,,,,
41.65,2.45,53.117.647,,,,,,
41.65,2.55,5.808.107,,,,,,
41.65,2.65,6.969.425,,,,,,
41.65,2.75,10.208.576,,,,,,
41.65,2.85,5.244.348,,,,,,
41.65,2.95,4.865.757,,,,,,
41.65,3.05,54.731.784,,,,,,
41.55,0.25,21.603.725,,,,,,
41.55,0.35,22.024.083,,,,,,
41.55,0.45,22.357.113,,,,,,
41.55,0.55,30.661.936,,,,,,
41.55,0.65,4.162.895,,,,,,
41.55,0.75,4.131.887,,,,,,
41.55,0.85,3.996.621,,,,,,
41.55,0.95,35.532.777,,,,,,
41.55,1.05,28.975.677,,,,,,
41.55,1.15,35.246.713,,,,,,
41.55,1.25,28.053.179,,,,,,
41.55,1.35,37.485.776,,,,,,
41.55,1.45,44.210.777,,,,,,
41.55,1.55,8.176.303,,,,,,
41.55,1.65,8.291.895,,,,,,
41.55,1.75,9.144.418,,,,,,
41.55,1.85,13.253.401,,,,,,
41.55,1.95,12.681.791,,,,,,
41.55,2.05,13.409.181,,,,,,
41.55,2.15,12.619.071,,,,,,
41.55,2.25,11.566.985,,,,,,
41.55,2.35,768.993,,,,,,
41.55,2.45,5.848.089,,,,,,
41.55,2.55,5.941.547,,,,,,
41.55,2.65,69.009.147,,,,,,
41.55,2.75,70.239.663,,,,,,
41.55,2.85,67.368.503,,,,,,
41.55,2.95,7.166.544,,,,,,
41.55,3.05,6.507.004,,,,,,
41.45,0.25,25.470.712,,,,,,
41.45,0.35,25.493.805,,,,,,
41.45,0.45,26.447.423,,,,,,
41.45,0.55,27.581.875,,,,,,
41.45,0.65,28.220.654,,,,,,
41.45,0.75,25.520.236,,,,,,
41.45,0.85,20.190.527,,,,,,
41.45,0.95,2.251.855,,,,,,
41.45,1.05,19.517.003,,,,,,
41.45,1.15,18.130.237,,,,,,
41.45,1.25,17.136.401,,,,,,
41.45,1.35,20.349.405,,,,,,
41.45,1.45,2.137.344,,,,,,
41.45,1.55,7.742.716,,,,,,
41.45,1.65,8.375.383,,,,,,
41.45,1.75,10.731.628,,,,,,
41.45,1.85,15.597.333,,,,,,
41.45,1.95,18.956.003,,,,,,
41.45,2.05,19.834.925,,,,,,
41.45,2.15,18.378.147,,,,,,
41.45,2.25,11.062.727,,,,,,
41.45,2.35,63.832.912,,,,,,
41.45,2.45,56.476.808,,,,,,
41.45,2.55,67.270.875,,,,,,
41.45,2.65,7.152.866,,,,,,
41.45,2.75,65.445.633,,,,,,
41.45,2.85,5.382.833,,,,,,
41.45,2.95,49.909.616,,,,,,
41.45,3.05,42.412.467,,,,,,
41.35,0.25,22.785.997,,,,,,
41.35,0.35,19.251.615,,,,,,
41.35,0.45,24.953.222,,,,,,
41.35,0.55,27.173.243,,,,,,
41.35,0.65,2.370.551,,,,,,
41.35,0.75,15.297.942,,,,,,
41.35,0.85,10.023.371,,,,,,
41.35,0.95,10.929.526,,,,,,
41.35,1.05,14.506.255,,,,,,
41.35,1.15,21.673.784,,,,,,
41.35,1.25,32.291.284,,,,,,
41.35,1.35,22.893.076,,,,,,
41.35,1.45,22.539.651,,,,,,
41.35,1.55,8.191.936,,,,,,
41.35,1.65,15.513.638,,,,,,
41.35,1.75,14.448.946,,,,,,
41.35,1.85,12.788.436,,,,,,
41.35,1.95,16.815.033,,,,,,
41.35,2.05,25.147.305,,,,,,
41.35,2.15,26.545.488,,,,,,
41.35,2.25,104.424.515,,,,,,
41.35,2.35,75.064.535,,,,,,
41.35,2.45,8.183.394,,,,,,
41.35,2.55,80.659.275,,,,,,
41.35,2.65,66.759.424,,,,,,
41.35,2.75,4.992.717,,,,,,
41.35,2.85,40.766.993,,,,,,
41.35,2.95,3.518.106,,,,,,
41.35,3.05,31.696.346,,,,,,
41.25,0.25,29.399.586,,,,,,
41.25,0.35,22.223.744,,,,,,
41.25,0.45,2.290.004,,,,,,
41.25,0.55,2.312.457,,,,,,
41.25,0.65,19.723.415,,,,,,
41.25,0.75,13.026.338,,,,,,
41.25,0.85,0.87288326,,,,,,
41.25,0.95,0.7523965,,,,,,
41.25,1.05,0.9770915,,,,,,
41.25,1.15,19.664.085,,,,,,
41.25,1.25,26.374.876,,,,,,
41.25,1.35,5.100.556,,,,,,
41.25,1.45,59.695.497,,,,,,
41.25,1.55,12.696.328,,,,,,
41.25,1.65,19.301.306,,,,,,
41.25,1.75,16.302.027,,,,,,
41.25,1.85,16.943.556,,,,,,
41.25,1.95,2.346.822,,,,,,
41.25,2.05,29.177.958,,,,,,
41.25,2.15,2.503.938,,,,,,
41.25,2.25,13.878.885,,,,,,
41.25,2.35,10.249.667,,,,,,
41.25,2.45,803.882,,,,,,
41.25,2.55,55.883.574,,,,,,
41.25,2.65,4.636.308,,,,,,
41.25,2.75,34.809.942,,,,,,
41.25,2.85,31.509.187,,,,,,
41.25,2.95,29.907.625,,,,,,
41.25,3.05,26.899.755,,,,,,
41.15,0.25,26.228.507,,,,,,
41.15,0.35,19.466.697,,,,,,
41.15,0.45,19.873.837,,,,,,
41.15,0.55,22.807.314,,,,,,
41.15,0.65,26.432.786,,,,,,
41.15,0.75,20.456.553,,,,,,
41.15,0.85,14.458.791,,,,,,
41.15,0.95,11.519.206,,,,,,
41.15,1.05,27.450.426,,,,,,
41.15,1.15,9.349.196,,,,,,
41.15,1.25,1.608.674,,,,,,
41.15,1.35,7.119.762,,,,,,
41.15,1.45,10.479.371,,,,,,
41.15,1.55,12.799.002,,,,,,
41.15,1.65,22.063.036,,,,,,
41.15,1.75,22.707.571,,,,,,
41.15,1.85,28.489.164,,,,,,
41.15,1.95,28.226.143,,,,,,
41.15,2.05,23.371.622,,,,,,
41.15,2.15,12.123.574,,,,,,
41.15,2.25,8.452.186,,,,,,
41.15,2.35,66.510.453,,,,,,
41.15,2.45,55.721.073,,,,,,
41.15,2.55,5.635.978,,,,,,
41.15,2.65,50.605.807,,,,,,
41.15,2.75,41.580.987,,,,,,
41.15,2.85,34.138.906,,,,,,
41.15,2.95,26.356.971,,,,,,
41.15,3.05,19.434.296,,,,,,
41.05,0.25,25.838.418,,,,,,
41.05,0.35,2.142.211,,,,,,
41.05,0.45,26.391.647,,,,,,
41.05,0.55,21.506.593,,,,,,
41.05,0.65,18.222.324,,,,,,
41.05,0.75,23.478.634,,,,,,
41.05,0.85,21.419.268,,,,,,
41.05,0.95,2.373.102,,,,,,
41.05,1.05,4.298.197,,,,,,
41.05,1.15,13.279.109,,,,,,
41.05,1.25,125.528.555,,,,,,
41.05,1.35,5.134.058,,,,,,
41.05,1.45,58.833.394,,,,,,
41.05,1.55,9.097.735,,,,,,
41.05,1.65,17.772.013,,,,,,
41.05,1.75,21.287.521,,,,,,
41.05,1.85,17.813.736,,,,,,
41.05,1.95,12.517.641,,,,,,
41.05,2.05,13.783.296,,,,,,
41.05,2.15,8.143.106,,,,,,
41.05,2.25,55.157.614,,,,,,
41.05,2.35,4.285.187,,,,,,
41.05,2.45,4.480.856,,,,,,
41.05,2.55,4.572.239,,,,,,
41.05,2.65,42.042.627,,,,,,
41.05,2.75,40.098.157,,,,,,
41.05,2.85,4.214.921,,,,,,
41.05,2.95,33.161.414,,,,,,
41.05,3.05,26.018.753,,,,,,
40.95,0.25,23.114.338,,,,,,
40.95,0.35,2.265.334,,,,,,
40.95,0.45,22.159.228,,,,,,
40.95,0.55,20.165.515,,,,,,
40.95,0.65,17.145.637,,,,,,
40.95,0.75,21.189.408,,,,,,
40.95,0.85,22.461.562,,,,,,
40.95,0.95,24.153.934,,,,,,
40.95,1.05,32.668.226,,,,,,
40.95,1.15,4.268.105,,,,,,
40.95,1.25,34.555.569,,,,,,
40.95,1.35,22.934.926,,,,,,
40.95,1.45,31.644.688,,,,,,
40.95,1.55,35.328.283,,,,,,
40.95,1.65,5.399.602,,,,,,
40.95,1.75,69.871.817,,,,,,
40.95,1.85,8.065.878,,,,,,
40.95,1.95,83.434.515,,,,,,
40.95,2.05,56.587.653,,,,,,
40.95,2.15,4.957.516,,,,,,
40.95,2.25,42.031.403,,,,,,
40.95,2.35,37.699.792,,,,,,
40.95,2.45,42.483.377,,,,,,
40.95,2.55,4.109.455,,,,,,
40.95,2.65,33.535.087,,,,,,
40.95,2.75,35.587.277,,,,,,
40.95,2.85,36.821.632,,,,,,
40.95,2.95,34.924.695,,,,,,
40.95,3.05,30.901.604,,,,,,
40.85,0.25,18.116.808,,,,,,
40.85,0.35,1.298.676,,,,,,
40.85,0.45,11.833.692,,,,,,
40.85,0.55,14.734.411,,,,,,
40.85,0.65,13.907.481,,,,,,
40.85,0.75,2.210.082,,,,,,
40.85,0.85,2.645.126,,,,,,
40.85,0.95,30.095.706,,,,,,
40.85,1.05,2.852.825,,,,,,
40.85,1.15,29.128.585,,,,,,
40.85,1.25,22.585.623,,,,,,
40.85,1.35,20.376.334,,,,,,
40.85,1.45,2.640.067,,,,,,
40.85,1.55,30.495.102,,,,,,
40.85,1.65,42.415.805,,,,,,
40.85,1.75,6.403.776,,,,,,
40.85,1.85,64.837.337,,,,,,
40.85,1.95,47.504.926,,,,,,
40.85,2.05,39.272.435,,,,,,
40.85,2.15,4.316.813,,,,,,
40.85,2.25,38.016.481,,,,,,
40.85,2.35,3.444.451,,,,,,
40.85,2.45,40.640.798,,,,,,
40.85,2.55,41.697.516,,,,,,
