lat,lon,NO2,,,,,,
42.05,1.05,0.9317127,,,,,,
42.05,1.15,0.65353525,,,,,,
42.05,1.25,0.6290073,,,,,,
42.05,1.35,0.9810386,,,,,,
42.05,1.45,11.079.912,,,,,,
42.05,1.55,10.361.198,,,,,,
42.05,1.65,0.9529011,,,,,,
42.05,1.75,10.800.314,,,,,,
42.05,1.85,31.012.769,,,,,,
42.05,1.95,32.740.026,,,,,,
42.05,2.05,2.483.062,,,,,,
42.05,2.15,28.033.035,,,,,,
42.05,2.25,32.263.536,,,,,,
42.05,2.35,24.470.587,,,,,,
42.05,2.45,18.957.487,,,,,,
42.05,2.55,15.025.201,,,,,,
42.05,2.65,14.302.508,,,,,,
42.05,2.75,19.263.446,,,,,,
42.05,2.85,4.006.693,,,,,,
42.05,2.95,42.810.264,,,,,,
42.05,3.05,46.939.797,,,,,,
41.95,0.25,18.952.584,,,,,,
41.95,0.35,11.607.206,,,,,,
41.95,0.45,0.9136507,,,,,,
41.95,0.55,10.372.283,,,,,,
41.95,0.65,10.358.073,,,,,,
41.95,0.75,0.949725,,,,,,
41.95,0.85,11.742.351,,,,,,
41.95,0.95,11.180.526,,,,,,
41.95,1.05,1.206.366,,,,,,
41.95,1.15,10.833.284,,,,,,
41.95,1.25,10.331.355,,,,,,
41.95,1.35,12.619.587,,,,,,
41.95,1.45,13.760.222,,,,,,
41.95,1.55,1.718.383,,,,,,
41.95,1.65,17.851.954,,,,,,
41.95,1.75,20.219.197,,,,,,
41.95,1.85,30.650.177,,,,,,
41.95,1.95,28.228.292,,,,,,
41.95,2.05,32.251.742,,,,,,
41.95,2.15,36.743.934,,,,,,
41.95,2.25,4.919.847,,,,,,
41.95,2.35,1.886.128,,,,,,
41.95,2.45,1.250.988,,,,,,
41.95,2.55,0.7088652,,,,,,
41.95,2.65,0.93661547,,,,,,
41.95,2.75,36.922.636,,,,,,
41.95,2.85,5.525.521,,,,,,
41.95,2.95,55.002.465,,,,,,
41.95,3.05,55.751.095,,,,,,
41.85,0.25,26.721.942,,,,,,
41.85,0.35,22.637.033,,,,,,
41.85,0.45,16.499.933,,,,,,
41.85,0.55,12.025.503,,,,,,
41.85,0.65,11.111.887,,,,,,
41.85,0.75,12.067.639,,,,,,
41.85,0.85,14.003.654,,,,,,
41.85,0.95,17.125.423,,,,,,
41.85,1.05,21.473.944,,,,,,
41.85,1.15,23.839.555,,,,,,
41.85,1.25,21.661.386,,,,,,
41.85,1.35,19.867.408,,,,,,
41.85,1.45,1.956.898,,,,,,
41.85,1.55,18.819.215,,,,,,
41.85,1.65,17.370.987,,,,,,
41.85,1.75,25.856.287,,,,,,
41.85,1.85,36.324.146,,,,,,
41.85,1.95,30.169.709,,,,,,
41.85,2.05,2.608.629,,,,,,
41.85,2.15,2.658.552,,,,,,
41.85,2.25,23.295.848,,,,,,
41.85,2.35,13.450.496,,,,,,
41.85,2.45,0.9456251,,,,,,
41.85,2.55,0.9948231,,,,,,
41.85,2.65,17.921.658,,,,,,
41.85,2.75,37.001.648,,,,,,
41.85,2.85,4.496.335,,,,,,
41.85,2.95,48.708.267,,,,,,
41.85,3.05,54.619.627,,,,,,
41.75,0.25,36.735.976,,,,,,
41.75,0.35,33.702.457,,,,,,
41.75,0.45,3.068.471,,,,,,
41.75,0.55,2.222.435,,,,,,
41.75,0.65,20.844.972,,,,,,
41.75,0.75,3.068.471,,,,,,
41.75,0.85,38.712.635,,,,,,
41.75,0.95,5.279.424,,,,,,
41.75,1.05,60.492.406,,,,,,
41.75,1.15,6.020.101,,,,,,
41.75,1.25,54.611.454,,,,,,
41.75,1.35,47.115.016,,,,,,
41.75,1.45,37.164.364,,,,,,
41.75,1.55,27.016.463,,,,,,
41.75,1.65,21.605.608,,,,,,
41.75,1.75,34.719.455,,,,,,
41.75,1.85,51.656.733,,,,,,
41.75,1.95,29.069.717,,,,,,
41.75,2.05,1.701.742,,,,,,
41.75,2.15,18.347.201,,,,,,
41.75,2.25,2.494.104,,,,,,
41.75,2.35,11.020.085,,,,,,
41.75,2.45,16.456.305,,,,,,
41.75,2.55,26.616.497,,,,,,
41.75,2.65,40.767.384,,,,,,
41.75,2.75,49.661.674,,,,,,
41.75,2.85,38.820.496,,,,,,
41.75,2.95,41.294.746,,,,,,
41.75,3.05,4.639.815,,,,,,
41.65,0.25,24.017.618,,,,,,
41.65,0.35,36.553.082,,,,,,
41.65,0.45,36.973.867,,,,,,
41.65,0.55,38.681.655,,,,,,
41.65,0.65,41.670.623,,,,,,
41.65,0.75,4.356.365,,,,,,
41.65,0.85,52.214.155,,,,,,
41.65,0.95,5.229.196,,,,,,
41.65,1.05,53.814.297,,,,,,
41.65,1.15,44.036.517,,,,,,
41.65,1.25,42.282.333,,,,,,
41.65,1.35,4.542.982,,,,,,
41.65,1.45,59.334.574,,,,,,
41.65,1.55,454.991,,,,,,
41.65,1.65,39.299.898,,,,,,
41.65,1.75,4.824.627,,,,,,
41.65,1.85,59.749.956,,,,,,
41.65,1.95,2.666.581,,,,,,
41.65,2.05,23.269.913,,,,,,
41.65,2.15,3.197.996,,,,,,
41.65,2.25,34.309.757,,,,,,
41.65,2.35,34.249.716,,,,,,
41.65,2.45,34.523.845,,,,,,
41.65,2.55,46.333.776,,,,,,
41.65,2.65,63.053.555,,,,,,
41.65,2.75,56.978.345,,,,,,
41.65,2.85,4.133.383,,,,,,
41.65,2.95,50.181.437,,,,,,
41.65,3.05,56.822.095,,,,,,
41.55,0.25,22.644.565,,,,,,
41.55,0.35,23.407.972,,,,,,
41.55,0.45,3.304.094,,,,,,
41.55,0.55,3.759.289,,,,,,
41.55,0.65,36.772.926,,,,,,
41.55,0.75,38.317.006,,,,,,
41.55,0.85,3.812.665,,,,,,
41.55,0.95,35.671.797,,,,,,
41.55,1.05,33.638.508,,,,,,
41.55,1.15,31.607.208,,,,,,
41.55,1.25,30.279.133,,,,,,
41.55,1.35,4.060.545,,,,,,
41.55,1.45,4.649.535,,,,,,
41.55,1.55,52.979.126,,,,,,
41.55,1.65,67.045.956,,,,,,
41.55,1.75,5.817.888,,,,,,
41.55,1.85,71.916.084,,,,,,
41.55,1.95,53.204.083,,,,,,
41.55,2.05,7.593.534,,,,,,
41.55,2.15,8.396.803,,,,,,
41.55,2.25,9.114.387,,,,,,
41.55,2.35,44.340.277,,,,,,
41.55,2.45,44.165.835,,,,,,
41.55,2.55,46.076.274,,,,,,
41.55,2.65,4.903.114,,,,,,
41.55,2.75,74.221.797,,,,,,
41.55,2.85,8.557.456,,,,,,
41.55,2.95,7.923.851,,,,,,
41.55,3.05,6.624.233,,,,,,
41.45,0.25,31.862.862,,,,,,
41.45,0.35,28.114.252,,,,,,
41.45,0.45,22.919.047,,,,,,
41.45,0.55,2.215.905,,,,,,
41.45,0.65,24.734.626,,,,,,
41.45,0.75,18.677.533,,,,,,
41.45,0.85,17.089.683,,,,,,
41.45,0.95,22.521,,,,,,
41.45,1.05,2.294.022,,,,,,
41.45,1.15,26.298.246,,,,,,
41.45,1.25,24.950.063,,,,,,
41.45,1.35,25.763.633,,,,,,
41.45,1.45,28.092.365,,,,,,
41.45,1.55,45.615.773,,,,,,
41.45,1.65,6.602.128,,,,,,
41.45,1.75,62.446.537,,,,,,
41.45,1.85,7.989.811,,,,,,
41.45,1.95,9.955.648,,,,,,
41.45,2.05,14.100.074,,,,,,
41.45,2.15,17.288.628,,,,,,
41.45,2.25,103.567.705,,,,,,
41.45,2.35,5.245.958,,,,,,
41.45,2.45,51.313.825,,,,,,
41.45,2.55,695.509,,,,,,
41.45,2.65,8.160.043,,,,,,
41.45,2.75,6.557.911,,,,,,
41.45,2.85,51.079.917,,,,,,
41.45,2.95,38.235.507,,,,,,
41.45,3.05,31.113.098,,,,,,
41.35,0.25,36.978.343,,,,,,
41.35,0.35,35.457.141,,,,,,
41.35,0.45,34.058.864,,,,,,
41.35,0.55,27.832.236,,,,,,
41.35,0.65,22.685.206,,,,,,
41.35,0.75,1.965.318,,,,,,
41.35,0.85,15.075.579,,,,,,
41.35,0.95,12.744.145,,,,,,
41.35,1.05,13.151.145,,,,,,
41.35,1.15,19.331.871,,,,,,
41.35,1.25,24.927.964,,,,,,
41.35,1.35,20.302.188,,,,,,
41.35,1.45,17.947.094,,,,,,
41.35,1.55,48.234.406,,,,,,
41.35,1.65,801.657,,,,,,
41.35,1.75,7.358.714,,,,,,
41.35,1.85,78.560.867,,,,,,
41.35,1.95,10.513.708,,,,,,
41.35,2.05,20.510.334,,,,,,
41.35,2.15,24.786.879,,,,,,
41.35,2.25,9.096.084,,,,,,
41.35,2.35,6.915.932,,,,,,
41.35,2.45,839.119,,,,,,
41.35,2.55,8.410.388,,,,,,
41.35,2.65,65.439.415,,,,,,
41.35,2.75,46.643.004,,,,,,
41.35,2.85,40.324.006,,,,,,
41.35,2.95,34.035.914,,,,,,
41.35,3.05,27.078.636,,,,,,
41.25,0.25,31.760.898,,,,,,
41.25,0.35,3.139.646,,,,,,
41.25,0.45,32.052.007,,,,,,
41.25,0.55,3.232.436,,,,,,
41.25,0.65,28.625.913,,,,,,
41.25,0.75,20.483.236,,,,,,
41.25,0.85,1.559.122,,,,,,
41.25,0.95,13.039.732,,,,,,
41.25,1.05,12.222.679,,,,,,
41.25,1.15,15.708.815,,,,,,
41.25,1.25,2.527.606,,,,,,
41.25,1.35,32.375.233,,,,,,
41.25,1.45,44.323.792,,,,,,
41.25,1.55,74.221.797,,,,,,
41.25,1.65,8.338.623,,,,,,
41.25,1.75,8.583.632,,,,,,
41.25,1.85,9.250.036,,,,,,
41.25,1.95,11.769.692,,,,,,
41.25,2.05,28.195.877,,,,,,
41.25,2.15,27.486.954,,,,,,
41.25,2.25,11.108.177,,,,,,
41.25,2.35,84.048.605,,,,,,
41.25,2.45,9.161.716,,,,,,
41.25,2.55,68.224.106,,,,,,
41.25,2.65,5.563.236,,,,,,
41.25,2.75,41.335.816,,,,,,
41.25,2.85,32.903.807,,,,,,
41.25,2.95,28.609.712,,,,,,
41.25,3.05,24.867.356,,,,,,
41.15,0.25,26.341.305,,,,,,
41.15,0.35,24.253.802,,,,,,
41.15,0.45,24.903.877,,,,,,
41.15,0.55,27.261.956,,,,,,
41.15,0.65,31.097.393,,,,,,
41.15,0.75,26.939.228,,,,,,
41.15,0.85,21.258.082,,,,,,
41.15,0.95,19.840.621,,,,,,
41.15,1.05,25.779.266,,,,,,
41.15,1.15,6.136.765,,,,,,
41.15,1.25,1.657.709,,,,,,
41.15,1.35,6.081.641,,,,,,
41.15,1.45,72.829.485,,,,,,
41.15,1.55,9.590.685,,,,,,
41.15,1.65,9.988.845,,,,,,
41.15,1.75,1.074.482,,,,,,
41.15,1.85,10.016.755,,,,,,
41.15,1.95,18.023.058,,,,,,
41.15,2.05,2.800.057,,,,,,
41.15,2.15,19.856.733,,,,,,
41.15,2.25,10.039.627,,,,,,
41.15,2.35,9.699.697,,,,,,
41.15,2.45,7.363.155,,,,,,
41.15,2.55,60.396.266,,,,,,
41.15,2.65,475.542,,,,,,
41.15,2.75,38.179.374,,,,,,
41.15,2.85,32.342.193,,,,,,
41.15,2.95,2.575.731,,,,,,
41.15,3.05,20.454.884,,,,,,
41.05,0.25,21.640.353,,,,,,
41.05,0.35,21.492.207,,,,,,
41.05,0.45,21.320.682,,,,,,
41.05,0.55,23.165.605,,,,,,
41.05,0.65,27.466.094,,,,,,
41.05,0.75,2.722.323,,,,,,
41.05,0.85,26.866.395,,,,,,
41.05,0.95,26.422.875,,,,,,
41.05,1.05,823.838,,,,,,
41.05,1.15,20.511.591,,,,,,
41.05,1.25,1.837.872,,,,,,
41.05,1.35,9.576.737,,,,,,
41.05,1.45,11.446.047,,,,,,
41.05,1.55,12.311.111,,,,,,
41.05,1.65,11.202.246,,,,,,
41.05,1.75,12.327.354,,,,,,
41.05,1.85,17.875.137,,,,,,
41.05,1.95,19.629.097,,,,,,
41.05,2.05,18.775.955,,,,,,
41.05,2.15,1.388.043,,,,,,
41.05,2.25,8.631.062,,,,,,
41.05,2.35,70.668.583,,,,,,
41.05,2.45,62.661.905,,,,,,
41.05,2.55,5.071.285,,,,,,
41.05,2.65,4.246.196,,,,,,
41.05,2.75,3.688.654,,,,,,
41.05,2.85,3.602.707,,,,,,
41.05,2.95,2.938.463,,,,,,
41.05,3.05,2.287.677,,,,,,
40.95,0.25,23.069.823,,,,,,
40.95,0.35,18.046.571,,,,,,
40.95,0.45,2.024.229,,,,,,
40.95,0.55,21.339.083,,,,,,
40.95,0.65,24.847.672,,,,,,
40.95,0.75,26.962.888,,,,,,
40.95,0.85,29.114.482,,,,,,
40.95,0.95,37.535.977,,,,,,
40.95,1.05,11.977.945,,,,,,
40.95,1.15,14.758.668,,,,,,
40.95,1.25,11.557.531,,,,,,
40.95,1.35,10.174.815,,,,,,
40.95,1.45,10.259.036,,,,,,
40.95,1.55,10.688.886,,,,,,
40.95,1.65,13.276.412,,,,,,
40.95,1.75,18.070.877,,,,,,
40.95,1.85,18.849.747,,,,,,
40.95,1.95,17.110.273,,,,,,
40.95,2.05,13.947.278,,,,,,
40.95,2.15,10.012.868,,,,,,
40.95,2.25,61.413.198,,,,,,
40.95,2.35,4.519.712,,,,,,
40.95,2.45,42.486.115,,,,,,
40.95,2.55,4.159.062,,,,,,
40.95,2.65,37.684.338,,,,,,
40.95,2.75,31.196.158,,,,,,
40.95,2.85,28.310.573,,,,,,
40.95,2.95,28.370.402,,,,,,
40.95,3.05,27.642.379,,,,,,
40.85,0.25,17.430.886,,,,,,
40.85,0.35,15.074.655,,,,,,
40.85,0.45,1.517.946,,,,,,
40.85,0.55,18.221.222,,,,,,
40.85,0.65,20.149.777,,,,,,
40.85,0.75,258.651,,,,,,
40.85,0.85,2.682.902,,,,,,
40.85,0.95,5.542.574,,,,,,
40.85,1.05,12.098.353,,,,,,
40.85,1.15,13.859.008,,,,,,
40.85,1.25,12.421.359,,,,,,
40.85,1.35,13.553.901,,,,,,
40.85,1.45,13.822.734,,,,,,
40.85,1.55,14.673.311,,,,,,
40.85,1.65,1.623.173,,,,,,
40.85,1.75,1.746.887,,,,,,
40.85,1.85,15.247.749,,,,,,
40.85,1.95,11.491.252,,,,,,
40.85,2.05,8.914.632,,,,,,
40.85,2.15,73.022.823,,,,,,
40.85,2.25,54.829.874,,,,,,
40.85,2.35,38.960.187,,,,,,
40.85,2.45,34.600.866,,,,,,
40.85,2.55,3.612.484,,,,,,
40.85,2.65,33.150.222,,,,,,
40.85,2.75,2.949.782,,,,,,
40.85,2.85,24.778.323,,,,,,
40.85,2.95,24.790.971,,,,,,
40.85,3.05,24.681.833,,,,,,
40.75,0.25,1.498.669,,,,,,
40.75,0.35,14.271.387,,,,,,
40.75,0.45,1.483.101,,,,,,
40.75,0.55,17.989.869,,,,,,
40.75,0.65,24.759.922,,,,,,
40.75,0.75,26.011.827,,,,,,
40.75,0.85,237.766,,,,,,
40.75,0.95,6.684.487,,,,,,
40.75,1.05,10.044.935,,,,,,
40.75,1.15,11.086.505,,,,,,
40.75,1.25,10.758.377,,,,,,
40.75,1.35,11.405.809,,,,,,
40.75,1.45,12.413.713,,,,,,
40.75,1.55,13.525.529,,,,,,
40.75,1.65,1.338.008,,,,,,
40.75,1.75,10.324.875,,,,,,
40.75,1.85,7.719.627,,,,,,
40.75,1.95,64.805.894,,,,,,
40.75,2.05,6.240.604,,,,,,
40.75,2.15,6.191.804,,,,,,
40.75,2.25,5.085.659,,,,,,
40.75,2.35,31.864.424,,,,,,
40.75,2.45,2.968.519,,,,,,
40.75,2.55,3.059.504,,,,,,
40.75,2.65,291.488,,,,,,
40.75,2.75,2.754.475,,,,,,
40.75,2.85,2.404.014,,,,,,
40.75,2.95,21.448.436,,,,,,
40.75,3.05,21.900.768,,,,,,
40.65,0.25,1.560.131,,,,,,
40.65,0.35,13.977.079,,,,,,
40.65,0.45,15.101.442,,,,,,
40.65,0.55,21.902.332,,,,,,
40.65,0.65,23.856.964,,,,,,
40.65,0.75,2.632.688,,,,,,
40.65,0.85,2.634.706,,,,,,
40.65,0.95,4.441.822,,,,,,
40.65,1.05,61.551.967,,,,,,
40.65,1.15,65.351.806,,,,,,
40.65,1.25,8.078.081,,,,,,
40.65,1.35,872.638,,,,,,
40.65,1.45,8.616.069,,,,,,
40.65,1.55,8.081.215,,,,,,
40.65,1.65,7.224.251,,,,,,
40.65,1.75,63.394.403,,,,,,
40.65,1.85,56.907.434,,,,,,
40.65,1.95,56.079.865,,,,,,
40.65,2.05,59.377.065,,,,,,
40.65,2.15,59.107.203,,,,,,
40.65,2.25,4.809.159,,,,,,
40.65,2.35,28.813.424,,,,,,
40.65,2.45,28.637.779,,,,,,
40.65,2.55,26.381.664,,,,,,
40.65,2.65,23.426.375,,,,,,
40.65,2.75,24.386.175,,,,,,
40.65,2.85,21.234.136,,,,,,
40.65,2.95,20.481.956,,,,,,
40.65,3.05,20.442.948,,,,,,
40.55,0.25,13.383.492,,,,,,
40.55,0.35,15.991.255,,,,,,
40.55,0.45,2.590.091,,,,,,
40.55,0.55,22.170.064,,,,,,
40.55,0.65,22.101.283,,,,,,
40.55,0.75,2.463.181,,,,,,
40.55,0.85,2.131.329,,,,,,
40.55,0.95,33.423.638,,,,,,
40.55,1.05,34.777.508,,,,,,
40.55,1.15,3.957.687,,,,,,
40.55,1.25,4.873.676,,,,,,
40.55,1.35,6.284.366,,,,,,
40.55,1.45,72.953.053,,,,,,
40.55,1.55,73.026.447,,,,,,
40.55,1.65,6.358.426,,,,,,
40.55,1.75,5.170.512,,,,,,
40.55,1.85,4.287.791,,,,,,
40.55,1.95,4.957.598,,,,,,
40.55,2.05,56.822.095,,,,,,
40.55,2.15,52.622.857,,,,,,
40.55,2.25,39.615.026,,,,,,
40.55,2.35,28.091.586,,,,,,
40.55,2.45,2.311.274,,,,,,
40.55,2.55,20.391.505,,,,,,
40.55,2.65,20.134.573,,,,,,
40.55,2.75,1.834.102,,,,,,
40.55,2.85,19.482.862,,,,,,
40.55,2.95,19.302.882,,,,,,
40.55,3.05,18.842.307,,,,,,
43.15,0.25,23.646.574,,,,,,
43.15,0.35,27.578.788,,,,,,
43.15,0.45,31.244.051,,,,,,
43.15,0.55,32.707.558,,,,,,
43.15,0.65,36.739.886,,,,,,
43.15,0.75,45.462.365,,,,,,
43.15,0.85,4.555.886,,,,,,
43.15,0.95,45.878.034,,,,,,
43.15,1.05,4.127.372,,,,,,
43.15,1.15,3.336.971,,,,,,
43.15,1.25,26.175.466,,,,,,
43.15,1.35,21.822.114,,,,,,
43.15,1.45,20.156.744,,,,,,
43.15,1.55,20.072.756,,,,,,
43.15,1.65,28.917.594,,,,,,
43.15,1.75,27.096.899,,,,,,
43.15,1.85,18.437.229,,,,,,
43.15,1.95,18.180.581,,,,,,
43.15,2.05,1.967.336,,,,,,
43.15,2.15,19.813.977,,,,,,
43.15,2.25,19.224.795,,,,,,
43.15,2.35,19.465.811,,,,,,
43.15,2.45,17.832.558,,,,,,
43.15,2.55,15.663.697,,,,,,
43.15,2.65,142.446,,,,,,
43.15,2.75,14.131.411,,,,,,
43.15,2.85,13.789.072,,,,,,
43.15,2.95,16.113.257,,,,,,
43.15,3.05,17.304.411,,,,,,
43.05,0.25,11.359.869,,,,,,
43.05,0.35,15.305.157,,,,,,
43.05,0.45,17.535.977,,,,,,
43.05,0.55,2.259.959,,,,,,
43.05,0.65,25.163.085,,,,,,
43.05,0.75,23.731.909,,,,,,
43.05,0.85,18.898.301,,,,,,
43.05,0.95,18.091.835,,,,,,
43.05,1.05,20.307.946,,,,,,
43.05,1.15,23.493.452,,,,,,
43.05,1.25,17.046.058,,,,,,
43.05,1.35,1.140.307,,,,,,
43.05,1.45,10.442.487,,,,,,
43.05,1.55,11.446.626,,,,,,
43.05,1.65,18.287.731,,,,,,
43.05,1.75,21.045.632,,,,,,
43.05,1.85,17.639.077,,,,,,
43.05,1.95,16.032.681,,,,,,
43.05,2.05,13.517.005,,,,,,
43.05,2.15,1.231.299,,,,,,
43.05,2.25,13.107.164,,,,,,
43.05,2.35,12.840.711,,,,,,
43.05,2.45,12.140.684,,,,,,
43.05,2.55,11.644.868,,,,,,
43.05,2.65,11.416.498,,,,,,
43.05,2.75,11.324.697,,,,,,
43.05,2.85,11.926.597,,,,,,
43.05,2.95,13.861.618,,,,,,
43.05,3.05,14.378.468,,,,,,
42.95,0.25,0.64645135,,,,,,
42.95,0.35,0.79781824,,,,,,
42.95,0.45,0.72840536,,,,,,
42.95,0.55,10.760.952,,,,,,
42.95,0.65,12.512.511,,,,,,
42.95,0.75,0.79047835,,,,,,
42.95,0.85,0.64603925,,,,,,
42.95,0.95,0.6115069,,,,,,
42.95,1.05,0.7976975,,,,,,
42.95,1.15,12.141.111,,,,,,
42.95,1.25,0.7277872,,,,,,
42.95,1.35,0.5882508,,,,,,
42.95,1.45,0.48919404,,,,,,
42.95,1.55,0.7883325,,,,,,
42.95,1.65,14.048.989,,,,,,
42.95,1.75,1.443.801,,,,,,
42.95,1.85,10.908.746,,,,,,
42.95,1.95,0.95722145,,,,,,
42.95,2.05,11.198.292,,,,,,
42.95,2.15,10.304.145,,,,,,
42.95,2.25,11.315.957,,,,,,
42.95,2.35,10.275.154,,,,,,
42.95,2.45,0.86481535,,,,,,
42.95,2.55,0.80935746,,,,,,
42.95,2.65,0.83324593,,,,,,
42.95,2.75,0.89641315,,,,,,
42.95,2.85,10.469.843,,,,,,
42.95,2.95,13.535.124,,,,,,
42.95,3.05,11.500.058,,,,,,
42.85,0.25,0.45192605,,,,,,
42.85,0.35,0.48061776,,,,,,
42.85,0.45,0.49657658,,,,,,
42.85,0.55,0.53162766,,,,,,
42.85,0.65,0.6926295,,,,,,
42.85,0.75,0.7789107,,,,,,
42.85,0.85,0.23909009,,,,,,
42.85,0.95,0.3298406,,,,,,
42.85,1.05,0.4273768,,,,,,
42.85,1.15,0.49340755,,,,,,
42.85,1.25,0.48664317,,,,,,
42.85,1.35,0.34457725,,,,,,
42.85,1.45,0.34127325,,,,,,
42.85,1.55,0.70434636,,,,,,
42.85,1.65,12.931.447,,,,,,
42.85,1.75,0.75640786,,,,,,
42.85,1.85,0.50179905,,,,,,
42.85,1.95,0.38053784,,,,,,
42.85,2.05,0.43515015,,,,,,
42.85,2.15,0.64724714,,,,,,
42.85,2.25,0.75774366,,,,,,
42.85,2.35,0.9465206,,,,,,
42.85,2.45,10.080.963,,,,,,
42.85,2.55,1.032.475,,,,,,
42.85,2.65,0.877733,,,,,,
42.85,2.75,0.82054144,,,,,,
42.85,2.85,0.92550987,,,,,,
42.85,2.95,15.725.302,,,,,,
42.85,3.05,12.665.206,,,,,,
42.75,0.25,0.3496008,,,,,,
42.75,0.35,0.3631864,,,,,,
42.75,0.45,0.3383458,,,,,,
42.75,0.55,0.46225023,,,,,,
42.75,0.65,0.62588114,,,,,,
42.75,0.75,0.65667605,,,,,,
42.75,0.85,0.2909242,,,,,,
42.75,0.95,0.26890445,,,,,,
42.75,1.05,0.24452575,,,,,,
42.75,1.15,0.3218612,,,,,,
42.75,1.25,0.31227598,,,,,,
42.75,1.35,0.21589798,,,,,,
42.75,1.45,0.26799497,,,,,,
42.75,1.55,0.3801257,,,,,,
42.75,1.65,0.64380103,,,,,,
42.75,1.75,0.6164593,,,,,,
42.75,1.85,0.45239502,,,,,,
42.75,1.95,0.2627796,,,,,,
42.75,2.05,0.23364733,,,,,,
42.75,2.15,0.32140645,,,,,,
42.75,2.25,0.39170757,,,,,,
42.75,2.35,0.47329918,,,,,,
42.75,2.45,0.66690075,,,,,,
42.75,2.55,0.8323435,,,,,,
42.75,2.65,10.227.051,,,,,,
42.75,2.75,1.100.275,,,,,,
42.75,2.85,14.913.932,,,,,,
42.75,2.95,16.600.903,,,,,,
42.75,3.05,13.843.002,,,,,,
42.65,0.25,0.23576474,,,,,,
42.65,0.35,0.18466961,,,,,,
42.65,0.45,0.307423,,,,,,
42.65,0.55,0.36813176,,,,,,
42.65,0.65,0.35959813,,,,,,
42.65,0.75,0.33649838,,,,,,
42.65,0.85,0.26825786,,,,,,
42.65,0.95,0.26270851,,,,,,
42.65,1.05,0.28344217,,,,,,
42.65,1.15,0.30657744,,,,,,
42.65,1.25,0.2065046,,,,,,
42.65,1.35,0.13063285,,,,,,
42.65,1.45,0.12568747,,,,,,
42.65,1.55,0.15913272,,,,,,
42.65,1.65,0.21023495,,,,,,
42.65,1.75,0.27463144,,,,,,
42.65,1.85,0.31763348,,,,,,
42.65,1.95,0.23955195,,,,,,
42.65,2.05,0.2660836,,,,,,
42.65,2.15,0.32297677,,,,,,
42.65,2.25,0.3684728,,,,,,
42.65,2.35,0.5409926,,,,,,
42.65,2.45,0.8795449,,,,,,
42.65,2.55,0.94995254,,,,,,
42.65,2.65,11.566.992,,,,,,
42.65,2.75,16.088.815,,,,,,
42.65,2.85,2.841.055,,,,,,
42.65,2.95,23.146.422,,,,,,
42.65,3.05,17.570.794,,,,,,
42.55,0.25,0.28985837,,,,,,
42.55,0.35,0.2749867,,,,,,
42.55,0.45,0.3590226,,,,,,
42.55,0.55,0.36001736,,,,,,
42.55,0.65,0.3410672,,,,,,
42.55,0.75,0.34480464,,,,,,
42.55,0.85,0.17346436,,,,,,
42.55,0.95,0.19718228,,,,,,
42.55,1.05,0.28538907,,,,,,
42.55,1.15,0.32598945,,,,,,
42.55,1.25,0.26480463,,,,,,
42.55,1.35,0.13603297,,,,,,
42.55,1.45,0.10594148,,,,,,
42.55,1.55,0.09008217,,,,,,
42.55,1.65,0.10961499,,,,,,
42.55,1.75,0.27465987,,,,,,
42.55,1.85,0.44447958,,,,,,
42.55,1.95,0.3849432,,,,,,
42.55,2.05,0.5100769,,,,,,
42.55,2.15,0.51294035,,,,,,
42.55,2.25,0.4825007,,,,,,
42.55,2.35,0.58834314,,,,,,
42.55,2.45,0.5047194,,,,,,
42.55,2.55,0.4693699,,,,,,
42.55,2.65,0.9061547,,,,,,
42.55,2.75,13.436.785,,,,,,
42.55,2.85,32.331.965,,,,,,
42.55,2.95,2.747.178,,,,,,
42.55,3.05,20.644.033,,,,,,
42.45,0.25,0.40809268,,,,,,
42.45,0.35,0.39655346,,,,,,
42.45,0.45,0.38679773,,,,,,
42.45,0.55,0.38253444,,,,,,
42.45,0.65,0.4018257,,,,,,
42.45,0.75,0.3976548,,,,,,
42.45,0.85,0.27869573,,,,,,
42.45,0.95,0.26829338,,,,,,
42.45,1.05,0.29336134,,,,,,
42.45,1.15,0.5020477,,,,,,
42.45,1.25,0.37347504,,,,,,
42.45,1.35,0.37073946,,,,,,
42.45,1.45,0.42883343,,,,,,
42.45,1.55,0.50678706,,,,,,
42.45,1.65,0.629711,,,,,,
42.45,1.75,0.7269274,,,,,,
42.45,1.85,0.7415362,,,,,,
42.45,1.95,17.993.354,,,,,,
42.45,2.05,0.61454797,,,,,,
42.45,2.15,0.29546455,,,,,,
42.45,2.25,0.2633338,,,,,,
42.45,2.35,0.29429215,,,,,,
42.45,2.45,0.32049698,,,,,,
42.45,2.55,0.5715317,,,,,,
42.45,2.65,0.8817049,,,,,,
42.45,2.75,13.533.987,,,,,,
42.45,2.85,2.985.345,,,,,,
42.45,2.95,24.720.275,,,,,,
42.45,3.05,14.975.324,,,,,,
42.35,0.25,0.54909986,,,,,,
42.35,0.35,0.5778129,,,,,,
42.35,0.45,0.5031917,,,,,,
42.35,0.55,0.42635363,,,,,,
42.35,0.65,0.4533045,,,,,,
42.35,0.75,0.4708336,,,,,,
42.35,0.85,0.37608984,,,,,,
42.35,0.95,0.28852254,,,,,,
42.35,1.05,0.34066218,,,,,,
42.35,1.15,0.6746315,,,,,,
42.35,1.25,0.64819926,,,,,,
42.35,1.35,0.8434351,,,,,,
