43.15,0.25,2.3509
43.15,0.35,2.4348
43.15,0.45,2.7371
43.15,0.55,2.7282
43.15,0.65,2.7563
43.15,0.75,3.7026
43.15,0.85,3.3058
43.15,0.95,3.1411
43.15,1.05,2.9188
43.15,1.15,2.5984
43.15,1.25,2.2761
43.15,1.35,2.0838
43.15,1.45,1.9341
43.15,1.55,1.9643
43.15,1.65,2.0659
43.15,1.75,1.852
43.15,1.85,1.6368
43.15,1.95,1.4714
43.15,2.05,1.4071
43.15,2.15,1.4233
43.15,2.25,1.4624
43.15,2.35,1.6426
43.15,2.45,1.7645
43.15,2.55,1.7779
43.15,2.65,1.885
43.15,2.75,1.9761
43.15,2.85,2.0198
43.15,2.95,2.1754
43.15,3.05,2.2197
43.05,0.25,1.0452
43.05,0.35,1.438
43.05,0.45,1.4523
43.05,0.55,1.7172
43.05,0.65,1.993
43.05,0.75,1.6366
43.05,0.85,1.5881
43.05,0.95,1.666
43.05,1.05,1.6232
43.05,1.15,1.7941
43.05,1.25,1.7725
43.05,1.35,1.5998
43.05,1.45,1.355
43.05,1.55,1.3816
43.05,1.65,1.403
43.05,1.75,1.2898
43.05,1.85,1.3451
43.05,1.95,1.2896
43.05,2.05,1.1841
43.05,2.15,1.2564
43.05,2.25,1.3507
43.05,2.35,1.1015
43.05,2.45,0.91392
43.05,2.55,1.0415
43.05,2.65,0.97006
43.05,2.75,1.1646
43.05,2.85,1.5048
43.05,2.95,1.9179
43.05,3.05,2.134
42.95,0.25,0.81852
42.95,0.35,0.93312
42.95,0.45,0.74857
42.95,0.55,1.1341
42.95,0.65,1.4665
42.95,0.75,0.96358
42.95,0.85,0.85448
42.95,0.95,0.83708
42.95,1.05,0.91521
42.95,1.15,0.9278
42.95,1.25,0.87431
42.95,1.35,0.82865
42.95,1.45,0.6886
42.95,1.55,0.74209
42.95,1.65,0.84671
42.95,1.75,0.86296
42.95,1.85,0.81799
42.95,1.95,0.78051
42.95,2.05,0.81799
42.95,2.15,0.93021
42.95,2.25,0.95756
42.95,2.35,0.88529
42.95,2.45,0.81475
42.95,2.55,0.86284
42.95,2.65,0.87357
42.95,2.75,0.87971
42.95,2.85,1.1741
42.95,2.95,1.3147
42.95,3.05,1.4765
42.85,0.25,0.51476
42.85,0.35,0.56528
42.85,0.45,0.61324
42.85,0.55,0.67623
42.85,0.65,0.75248
42.85,0.75,0.69981
42.85,0.85,0.36907
42.85,0.95,0.40704
42.85,1.05,0.60617
42.85,1.15,0.60178
42.85,1.25,0.84343
42.85,1.35,0.5533
42.85,1.45,0.42622
42.85,1.55,0.60446
42.85,1.65,0.7216
42.85,1.75,0.60497
42.85,1.85,0.59416
42.85,1.95,0.54693
42.85,2.05,0.50446
42.85,2.15,0.54421
42.85,2.25,0.61986
42.85,2.35,0.74972
42.85,2.45,0.74271
42.85,2.55,1.1018
42.85,2.65,1.036
42.85,2.75,0.8295
42.85,2.85,0.93775
42.85,2.95,1.1665
42.85,3.05,1.2092
42.75,0.25,0.40565
42.75,0.35,0.42401
42.75,0.45,0.44968
42.75,0.55,0.57475
42.75,0.65,0.67435
42.75,0.75,0.5074
42.75,0.85,0.28865
42.75,0.95,0.25537
42.75,1.05,0.34916
42.75,1.15,0.46586
42.75,1.25,0.43607
42.75,1.35,0.39857
42.75,1.45,0.37931
42.75,1.55,0.59407
42.75,1.65,0.60712
42.75,1.75,0.72152
42.75,1.85,0.55693
42.75,1.95,0.33603
42.75,2.05,0.34845
42.75,2.15,0.39856
42.75,2.25,0.43157
42.75,2.35,0.51448
42.75,2.45,0.6532
42.75,2.55,0.79936
42.75,2.65,1.0175
42.75,2.75,1.2129
42.75,2.85,1.4651
42.75,2.95,1.4167
42.75,3.05,1.0597
42.65,0.25,0.36894
42.65,0.35,0.35377
42.65,0.45,0.36185
42.65,0.55,0.48866
42.65,0.65,0.45854
42.65,0.75,0.37665
42.65,0.85,0.2494
42.65,0.95,0.24727
42.65,1.05,0.31452
42.65,1.15,0.40376
42.65,1.25,0.33451
42.65,1.35,0.27203
42.65,1.45,0.26825
42.65,1.55,0.30131
42.65,1.65,0.34808
42.65,1.75,0.36013
42.65,1.85,0.37043
42.65,1.95,0.37759
42.65,2.05,0.36836
42.65,2.15,0.41909
42.65,2.25,0.47356
42.65,2.35,0.53884
42.65,2.45,0.7974
42.65,2.55,0.92045
42.65,2.65,0.98587
42.65,2.75,1.4439
42.65,2.85,1.9673
42.65,2.95,1.6497
42.65,3.05,1.2301
42.55,0.25,0.40029
42.55,0.35,0.39061
42.55,0.45,0.42231
42.55,0.55,0.4556
42.55,0.65,0.45842
42.55,0.75,0.32474
42.55,0.85,0.26629
42.55,0.95,0.25983
42.55,1.05,0.34623
42.55,1.15,0.52815
42.55,1.25,0.36685
42.55,1.35,0.24054
42.55,1.45,0.25053
42.55,1.55,0.27201
42.55,1.65,0.25492
42.55,1.75,0.29353
42.55,1.85,0.37033
42.55,1.95,0.46813
42.55,2.05,0.4352
42.55,2.15,0.4987
42.55,2.25,0.51878
42.55,2.35,0.68479
42.55,2.45,0.70951
42.55,2.55,0.7017
42.55,2.65,0.84144
42.55,2.75,1.529
42.55,2.85,3.1628
42.55,2.95,2.9079
42.55,3.05,1.9057
42.45,0.25,0.47125
42.45,0.35,0.44499
42.45,0.45,0.48041
42.45,0.55,0.52235
42.45,0.65,0.51657
42.45,0.75,0.53248
42.45,0.85,0.38333
42.45,0.95,0.34872
42.45,1.05,0.43022
42.45,1.15,0.62387
42.45,1.25,0.47271
42.45,1.35,0.5564
42.45,1.45,0.57524
42.45,1.55,0.44849
42.45,1.65,0.85123
42.45,1.75,0.67715
42.45,1.85,0.67207
42.45,1.95,1.2556
42.45,2.05,0.83498
42.45,2.15,0.49271
42.45,2.25,0.47514
42.45,2.35,0.49076
42.45,2.45,0.62082
42.45,2.55,0.72663
42.45,2.65,0.73107
42.45,2.75,1.1421
42.45,2.85,2.5327
42.45,2.95,1.9318
42.45,3.05,1.9198
42.35,0.25,0.69081
42.35,0.35,0.5547
42.35,0.45,0.54756
42.35,0.55,0.52787
42.35,0.65,0.55724
42.35,0.75,0.66938
42.35,0.85,0.49693
42.35,0.95,0.45169
42.35,1.05,0.66654
42.35,1.15,0.64701
42.35,1.25,0.74989
42.35,1.35,0.66362
42.35,1.45,1.0783
42.35,1.55,1.0475
42.35,1.65,1.3573
42.35,1.75,1.8892
42.35,1.85,2.3926
42.35,1.95,2.0875
42.35,2.05,1.2839
42.35,2.15,0.79122
42.35,2.25,0.68278
