time,lat,lon,CO,NO2,SO2,O3,PM10,PM25
2020-05-25 12:00:00+00:00,43.275556,-5.596111,0.0,1.88,0.0,56.0,20.0,6.0
2020-05-25 12:00:00+00:00,37.976182,-1.230747,,1.88,2.62,82.0,12.0,
2020-05-25 12:00:00+00:00,37.689508,-1.70105,,5.64,10.48,58.0,103.0,
2020-05-25 12:00:00+00:00,37.99396,-1.144628,0.0,9.399999999999999,0.0,70.0,19.0,
2020-05-25 12:00:00+00:00,37.694224,-1.064626,,3.76,5.24,58.0,21.0,
2020-05-25 12:00:00+00:00,37.604871,-0.914045,,9.399999999999999,2.62,86.0,15.0,
2020-05-25 12:00:00+00:00,37.60339,-0.974903,0.0,1.88,2.62,76.0,22.0,
2020-05-25 12:00:00+00:00,37.574442,-0.926557,,18.799999999999997,7.86,72.0,21.0,
2020-05-25 12:00:00+00:00,38.114666,-1.868732,,5.64,,58.0,8.0,
2020-05-25 08:00:00+00:00,38.351111,-0.513889,0.0,3.76,0.0,80.0,10.0,3.1
2020-05-25 08:00:00+00:00,38.706389,-0.466944,0.0,5.64,0.0,50.0,,
2020-05-25 08:00:00+00:00,38.445,-0.806389,,3.76,2.62,68.0,10.0,4.0
2020-05-25 08:00:00+00:00,40.068056,-0.206944,0.0,5.64,2.62,62.0,27.0,5.0
2020-05-25 08:00:00+00:00,39.458056,-0.376667,0.0,18.799999999999997,2.62,46.0,15.0,8.1
2020-05-25 09:00:00+00:00,39.481111,-0.408333,0.0,5.64,2.62,48.0,15.0,8.1
2020-05-25 08:00:00+00:00,39.4575,-0.342778,0.0,9.399999999999999,2.62,50.0,14.0,4.0
2020-05-25 08:00:00+00:00,39.479722,-0.3375,0.0,7.52,2.62,46.0,61.0,7.2
2020-05-25 09:00:00+00:00,39.708056,-0.831944,0.0,3.76,0.0,60.0,22.0,8.1
2020-05-25 08:00:00+00:00,39.56,-1.282778,0.0,1.88,0.0,70.0,9.0,4.0
2020-05-25 09:00:00+00:00,39.632778,-0.266389,0.0,18.799999999999997,2.62,48.0,18.0,9.1
2020-05-25 09:00:00+00:00,39.708056,-0.831944,0.0,3.76,0.0,60.0,22.0,8.1
2020-05-25 09:00:00+00:00,40.011389,-0.057222,,7.52,,74.0,12.0,9.1
2020-05-25 09:00:00+00:00,39.782222,-0.359167,0.0,5.64,0.0,42.0,16.0,7.2
2020-05-25 09:00:00+00:00,39.945278,-0.056389,0.0,3.76,0.0,20.0,3.0,3.1
2020-05-25 08:00:00+00:00,39.892222,-0.065,0.0,5.64,2.62,58.0,6.0,3.1
2020-05-25 09:00:00+00:00,39.930556,-0.603333,0.0,3.76,0.0,34.0,14.0,6.0
2020-05-25 08:00:00+00:00,38.9375,-0.441944,,7.52,,66.0,,
2020-05-25 09:00:00+00:00,39.427222,-0.783889,0.0,3.76,2.62,62.0,10.0,7.2
2020-05-25 09:00:00+00:00,40.735,-0.169444,,1.88,5.24,40.0,7.0,5.0
2020-05-25 09:00:00+00:00,39.705278,-0.336667,0.0,5.64,0.0,50.0,14.0,6.0
2020-05-25 08:00:00+00:00,39.481111,-0.447222,0.0,11.28,2.62,46.0,2.0,1.2
2020-05-25 08:00:00+00:00,40.062222,-0.072778,0.0,0.0,0.0,74.0,6.0,3.1
2020-05-25 09:00:00+00:00,43.382786,-8.409211,0.0,0.0,0.0,68.0,41.0,13.0
2020-05-25 09:00:00+00:00,42.061626,-7.408726,0.0,0.0,0.0,48.0,21.0,5.0
2020-05-25 09:00:00+00:00,42.180661,-8.5226,229.0,3.76,0.0,46.0,24.0,15.9
2020-05-25 09:00:00+00:00,42.876011,-8.559122,0.0,7.52,0.0,68.0,25.0,14.0
2020-05-25 09:00:00+00:00,42.887759,-8.531091,0.0,15.04,2.62,46.0,24.0,7.2
2020-05-25 09:00:00+00:00,42.219002,-8.742058,114.5,20.68,0.0,48.0,38.0,15.9
2020-05-25 09:00:00+00:00,43.480659,-8.241543,0.0,1.88,0.0,60.0,30.0,9.1
2020-05-25 09:00:00+00:00,42.425931,-8.644105,0.0,3.76,0.0,28.0,18.0,11.0
2020-05-25 09:00:00+00:00,42.222449,-8.711088,229.0,24.439999999999998,0.0,34.0,28.0,15.9
2020-05-25 09:00:00+00:00,42.895635,-2.170814,0.0,5.64,0.0,56.0,16.0,
2020-05-25 08:00:00+00:00,42.314542,-1.801367,0.0,1.88,5.24,50.0,20.0,5.0
2020-05-25 09:00:00+00:00,42.481425,-1.650977,0.0,3.76,5.24,40.0,31.0,
2020-05-25 06:00:00+00:00,42.805135,-1.65368,0.0,28.2,0.0,20.0,15.0,
2020-05-25 09:00:00+00:00,42.789063,-1.616705,0.0,26.32,0.0,24.0,21.0,
2020-05-25 09:00:00+00:00,42.827353,-1.650601,0.0,20.68,0.0,20.0,19.0,
2020-05-25 09:00:00+00:00,42.574435,-1.283085,0.0,13.16,5.24,36.0,16.0,
2020-05-25 09:00:00+00:00,42.061382,-1.606317,0.0,7.52,5.24,50.0,23.0,5.0
2020-05-25 09:00:00+00:00,43.337535,-4.050512,0.0,5.64,0.0,48.0,16.0,
2020-05-25 10:00:00+00:00,43.372247,-4.040786,0.0,7.52,0.0,54.0,24.0,
2020-05-25 09:00:00+00:00,43.39723,-3.83013,0.0,11.28,0.0,34.0,39.0,
2020-05-25 10:00:00+00:00,43.458433,-3.822808,0.0,16.919999999999998,0.0,66.0,32.0,
2020-05-25 10:00:00+00:00,42.999529,-4.139262,0.0,1.88,0.0,66.0,20.0,
2020-05-25 10:00:00+00:00,43.154223,-4.254166,0.0,0.0,0.0,68.0,8.0,
2020-05-25 09:00:00+00:00,43.259776,-4.06699,0.0,1.88,0.0,56.0,22.0,
2020-05-25 10:00:00+00:00,43.368822,-3.215635,0.0,3.76,0.0,62.0,28.0,
2020-05-25 10:00:00+00:00,43.34885,-4.05015,0.0,3.76,0.0,54.0,38.0,
2020-05-25 09:00:00+00:00,43.406667,-3.883333,0.0,5.64,0.0,58.0,41.0,
2020-05-25 11:00:00+00:00,40.706707,0.581651,,9.399999999999999,,40.0,20.0,
2020-05-25 11:00:00+00:00,41.38534,2.153822,0.0,28.2,0.0,48.0,27.0,
2020-05-25 11:00:00+00:00,41.398743,2.153385,0.0,24.439999999999998,0.0,60.0,21.0,
2020-05-25 11:00:00+00:00,41.387486,2.11515,0.0,3.76,0.0,84.0,17.0,
2020-05-25 11:00:00+00:00,41.42608,2.147992,0.0,11.28,0.0,84.0,17.0,
2020-05-25 11:00:00+00:00,41.40388,2.204523,0.0,20.68,,58.0,22.0,
2020-05-25 11:00:00+00:00,41.95867,3.212901,0.0,1.88,0.0,82.0,12.0,
2020-05-25 11:00:00+00:00,42.368317,1.776783,0.0,0.0,0.0,50.0,10.0,
2020-05-25 11:00:00+00:00,42.09791,1.848237,0.0,3.76,0.0,66.0,15.0,
2020-05-25 10:00:00+00:00,41.202232,1.6722,,1.88,0.0,36.0,15.0,
2020-05-25 11:00:00+00:00,41.976387,2.816547,0.0,3.76,2.62,36.0,12.0,
2020-05-25 11:00:00+00:00,41.4698,2.184233,0.0,11.28,0.0,70.0,16.0,
2020-05-25 11:00:00+00:00,42.05132,0.729599,0.0,0.0,0.0,58.0,10.0,
2020-05-25 11:00:00+00:00,41.492085,2.042497,0.0,5.64,0.0,84.0,18.0,
