60.37408,5.34042,5.2,,9,,
60.5465559,5.2850092,,,,,
59.73325,10.21187,2,,9,,
59.7422779,10.2127969,2,,,,
59.13812,9.65212,1.2,25.2,3,,
59.1298424,9.6418042,,28.5,,,
59.15927,9.63565,1.5,25.2,5,,
58.14888,7.99183,0.8,,13,,
58.14703,7.98662,,,,,
61.11288,10.46497,2.7,,8,,
61.12087,10.46563,0.7,,4,,
60.79089,10.6967,1.6,,17,,
66.3111229,14.1520537,,,,,
58.96173,5.73147,0.7,,24,,
58.96415,5.72785,3.6,,17,,
69.65625,18.96372,7.5,,5,,
69.6492047,18.9553238,2,,,,
63.43293,10.41067,1.1,,3,,
63.419239,10.395945,2.6,,4,,
63.4305149,10.3950528,,,,,
63.43038,10.39355,5.2,,2,,
62.47217,6.15682,,,18,,
62.4722284,6.149482,,,,,
59.92773,10.84633,2,,20,,0.1
59.91898,10.69707,3.8,,21,,0.1
59.91132,10.70407,0.9,,3,,0.1
59.93233,10.72447,3.2,,17,,0.1
59.89869,10.81495,2.5,,9,,0.1
59.91975,10.68973,5.9,,9,,0.1
59.92295,10.76573,0.9,,7,,0.1
59.912001,10.767426,,,,,0.1
59.94103,10.79803,4.4,,21,,0.1
59.93255,10.66984,5.5,,12,,0.1
59.9138688,10.7522454,,,,,0.1
59.9331861,10.6130206,,5,,,
59.9058834,10.609174,2.9,,5,,0.1
60.79646,11.09777,2.5,,15,,
70.66445,23.708257,,,,,
63.3576,10.3719,2.3,,3,,
59.263725,10.411165,0.6,,7,,
59.263725,10.411165,,,6,,
59.263725,10.411165,3.3,,6,,
59.955477,11.073983,2.2,,9,,
59.955477,11.073983,1.6,,5,,
59.2105085,10.9395838,6.5,,9,,
59.2103102,10.9472818,2.6,,8,,
52.42023,4.83206,13.6,20.9,23,,
52.398437,4.728581,9.3,,22,2.6,
52.359714,4.866208,10.9,31.1,19,,3.1
52.393972,4.870157,17.1,29,16,1.6,
52.44797,4.81673,,30.1,,,
52.339498,4.841021,17,21.9,24,,
52.381331,4.845233,15.5,29,27,,4.5
52.428,4.773,16.6,20.9,17,2.1,
52.374786,4.860319,16.1,19.3,20,,
52.358039,4.8997,16.7,31.1,20,,
52.389983,4.887811,13.6,29,20,,4.4
52.803657,5.050509,9,25.6,16,,
52.381,4.64759,,,,0.1,
52.56359,4.8617,,20.9,11,,
52.257356,5.235903,14.4,20.3,23,,
52.334003,4.774006,14,21,21,2.6,4.3
52.489303,4.640531,22.7,20.9,33,,
52.448011,4.816706,11.6,20.9,21,,
52.235083,5.181552,15.1,16.5,23,,
52.32745018,4.715071321,13,21,25,2.6,
52.42023,4.83206,,30.1,,,
52.463039,4.601842,18.5,,30,2.6,2.8
52.493992,4.601986,18.1,,29,6.9,3.9
52.28013,4.77082,12.2,21,20,2.6,
52.4744,4.6288,2,,,,
52.478871,4.579343,18.9,,30,,
51.54052,5.85307,7.4,34.7,5,,
50.90228,5.881748,3.9,38.1,17,2,
50.90032,5.986853,4.3,33.8,29,2,
50.88796,5.970496,4.1,39.7,16,2,
51.45412,6.10821,9.2,27.3,26,,
50.85205,5.6758,15.1,25.5,26,,
50.84594,5.71475,18.8,25.9,27,,
50.98445,5.82224,16.4,25.6,27,5.6,
50.85982,5.71382,,,,,
51.51844,5.14845,11.3,28.1,17,,
51.43444,4.359835,22,23.6,24,,
51.60308,4.781016,16.2,25,41,,
51.407365,5.393328,7.4,35.4,15,,
51.46866,5.47235,9.9,31.8,22,,
51.44416,5.444833,11.1,31.8,10,,
51.59353,4.824944,17.8,25,25,,
51.547469,5.838202,8.3,27.6,26,,
51.535901,5.808593,8.3,27.6,26,,
51.653729,4.515271,9.1,21.2,28,,
51.6689355,4.541659,5.1,17.6,33,,
51.653205,4.594882,9.2,18,35,,
51.294498,3.749484,4.6,35.1,16,3,
51.4645,3.745,2,26.8,,0.2,
51.786579,4.450529,15.8,21.2,30,,
52.296556,4.510817,14.1,26,15,2.6,
52.077148,4.289185,19.3,18.4,29,,
51.914233,4.479923,14.8,23,41,,
51.800658,4.708239,12.3,31.5,24,,
52.039023,4.359376,17,27.7,32,,
51.910474,4.326303,22.6,15.2,25,,
52.075071,4.315872,19.2,18.4,32,,
52.167753,4.50756,8.2,29.4,23,1.8,
51.92711,4.46134,24.8,,39,,
51.86742,4.35524,11.5,24.9,30,3.7,
51.89361,4.48759,13,23,36,,
51.92139,4.40139,22,16.1,37,,
51.93207,4.22799,23.4,17.8,25,3,
51.870069,4.318061,31.7,7,29,,
51.89113,4.48066,,28.1,,,
51.86942,4.58007,13.5,19.1,33,,
51.93858,4.4307,22.8,16.1,38,,
51.92711,4.46136,,,,,
51.88786,4.38881,24.6,9.9,26,,
51.97764,4.12124,21.9,23,33,3.4,
52.44871,5.61921,7.7,24.8,23,,
52.4232,5.59338,5.7,30.5,2,,
52.13795,4.83819,11.6,22.7,39,1.9,
51.974489,4.923301,15.5,25.3,10,1.9,
52.101308,5.128183,17.6,20.3,23,2.1,
52.105031,5.124464,5.9,20.3,5,,
52.067748,5.120507,8.9,30.9,17,1.9,
52.20153,4.987444,14.8,21,33,,
52.091801,6.605367,3.4,34.4,6,1,
52.111621,5.708419,3.9,31.6,25,,
51.838221,5.856938,7.4,31.7,27,,
51.841372,5.857777,9.6,31.7,18,,
52.38833,6.402919,4.8,31.7,18,,
52.654144,6.017571,7.9,25.9,14,,
52.234504,6.919494,8.5,28.8,25,,
52.916915,5.573491,8.5,28.7,25,,
53.330425,6.276815,4.3,28.7,34,0.4,
52.875725,6.932432,2,37.8,13,,
53.246535,6.608937,4.5,34.2,16,,
53.217796,6.578901,5.8,34.2,16,,
51.6077503,4.7893852,13.3,,30,,
51.428276,4.295654,,,,,
51.393289,4.3202367,15.6,18.7,53,,
51.699409,4.623713,16.4,18.8,24,,
52.370508,4.642319,10.7,27.6,10,,
52.4764884,4.6273742,18.7,19.7,33,,
51.8579,4.66012,15.2,17.9,33,,
51.89113,4.48066,17.4,15.3,42,,
52.06408,4.31021,,,,,
51.713396,4.583248,15.4,,34,,
52.4420399,4.8291992,11.6,20.9,21,,
52.3702157,4.8951679,21.8,24.5,24,2.6,3.5
51.930833,4.479167,24.8,23,39,,
47.47833333,8.364444444,3.6,44,,,
47.3775,8.530555556,3.8,46.2,20,0.6,
47.40305556,8.613333333,4.9,46.6,22,0.6,
47.40305556,8.613333333,4.9,46.6,22,0.6,
47.40305556,8.613333333,,26,13,12.6,
47.40305556,8.613333333,,31,9,,
47.40305556,8.613333333,,25,14,18.8,
47.40305556,8.613333333,,,,,
47.40305556,8.613333333,,,,,
47.43872743,8.5701198,7,44.5,19,,
47.43872743,8.5701198,,25,,7.3,
47.40703313,9.394337828,2.9,44.9,16,,
47.40703313,9.394337828,,,,,
47.42707888,9.373994184,11,41,18,,
47.42707888,9.373994184,,24,9,11.2,
47.42707888,9.373994184,,,,,
46.86331423,9.540921235,,47.4,,,
46.81527778,9.855833333,1,42.3,8,,
