41.359,2.1202,20.371
41.404,2.1903,10.927
41.391,2.2026,26.756
41.359,2.1202,3.8612
41.4,2.1959,13.969
41.359,2.12,12.539
41.403,2.1766,22.138
41.405,2.1747,22.88
41.398,2.142,7.6718
41.359,2.1201,15.244
41.39,2.1986,14.14
41.376,2.1891,19.158
41.398,2.1421,20.734
41.397,2.1874,21.867
41.395,2.1872,9.9006
41.387,2.1234,19.993
41.406,2.1505,19.377
41.392,2.1266,7.0653
41.372,2.1803,5.9749
41.406,2.17,15.459
41.405,2.1734,26.994
41.391,2.2026,11.51
41.387,2.1627,17.632
41.406,2.1949,8.5953
41.392,2.1647,21.782
41.403,2.1428,9.3774
41.375,2.1608,15.649
41.359,2.1202,20.477
41.406,2.1587,25.273
41.403,2.1767,26.982
41.401,2.1831,16.68
41.391,2.2026,6.4656
41.386,2.1615,6.7324
41.416,2.1913,9.4377
41.395,2.1924,24.018
41.359,2.1202,9.3571
41.391,2.1138,23.357
41.406,2.1923,9.0881
41.387,2.1125,26.232
41.376,2.1886,11.75
41.359,2.1202,7.9149
41.391,2.2026,9.2771
41.394,2.1262,18.401
41.391,2.1526,14.832
41.404,2.198,11.791
41.404,2.1979,23.771
41.386,2.1541,17.632
41.407,2.1329,16.743
41.401,2.1911,25.93
41.392,2.1647,10.146
41.359,2.1202,21.93
41.403,2.1768,21.843
41.379,2.1899,12.511
41.41,2.218,17.196
41.407,2.2075,4.8964
41.391,2.1855,4.3488
41.359,2.12,16.27
41.359,2.1201,22.479
41.391,2.1366,26.35
41.377,2.1759,6.2477
41.395,2.1871,17.221
41.386,2.1825,14.735
41.402,2.1974,3.2976
41.398,2.188,11.428
41.378,2.1912,7.0546
41.388,2.1977,22.857
41.359,2.1202,10.78
41.359,2.1202,16.213
41.41,2.2149,7.1412
41.38,2.1521,18.05
41.388,2.1977,9.5743
41.376,2.1891,19.352
41.396,2.1742,20.23
41.359,2.12,21.704
41.393,2.121,14.264
41.403,2.2028,5.0955
41.392,2.19,8.7244
41.393,2.1183,25.833
41.388,2.1977,6.8095
